numActiveSessions:vector baselineTestQoS.hostSSH[28].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[28].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[28].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[28].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[28].tcp.conn-534 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[28].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[28].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.308981943736,51,0.389191401336,51,1.389191401336,40,1.4693222712,0.080130869864000003,1.4693295512,40,1.4693295512,0.040119258399999996
0.308981943736,1,0.389191401336,47,1.4693222712,47,1.439191401336,40,1.5495845112,0.080262239999999984,1.5495917912,40,1.5495917912,0.040254634400000002
,,1.389191401336,87,1.4693295512,87,1.489191401336,40,1.6298645912,0.080280080000000003,1.6298753912,80,1.6298753912,0.040272762399999994
,,1.4693222712,87,1.5495845112,47,1.539191401336,40,1.7100552312,0.080190639999999979,1.7100625112,40,1.6298753912,0.040272762399999994
,,1.4693295512,47,1.5495917912,87,1.589191401336,40,1.7905473912,0.080492159999999978,1.7905581912,80,1.7100625112,0.040182458399999995
,,1.5495845112,127,1.6298645912,47,1.639191401336,40,1.8707572312,0.080209840000000004,1.8707680312,80,1.7905581912,0.040484842399999998
,,1.5495917912,47,1.6298753912,127,1.689191401336,40,1.9512046712,0.08044743999999998,1.9512119512,40,1.7905581912,0.040484842399999998
,,1.6298645912,87,1.7100552312,47,1.739191401336,40,2.0313872312,0.080182559999999985,2.0314374552,528,1.8707680312,0.040201946399999993
,,1.6298753912,47,1.7100625112,87,1.789191401336,40,3.1115969112,0.080159455999999989,3.1116041912,40,1.8707680312,0.040201946399999993
,,1.7100552312,127,1.7905473912,47,1.839191401336,40,3.1951701912,0.083573279999999999,3.1951774712,40,1.9512119512,0.040439258399999996
,,1.7100625112,47,1.7905581912,127,1.889191401336,40,3.2756674712,0.080497280000000003,3.2756782712,80,2.0314374552,0.040220522399999999
,,1.7905473912,127,1.8707572312,47,3.0314374552,40,3.3571344312,0.081466960000000004,3.3571417112,40,3.1116041912,0.040155050400000002
,,1.7905581912,47,1.8707680312,127,3.0814374552,40,3.4373116312,0.080177200000000003,3.4373224312,80,3.1951774712,0.043565674399999989
,,1.8707572312,87,1.9512046712,47,3.1314374552,40,3.5174227512,0.080111119999999979,3.5174335512,80,3.2756782712,0.040489962399999995
,,1.8707680312,47,1.9512119512,87,3.1814374552,40,3.5976322712,0.080209520000000006,3.5976395512,40,3.2756782712,0.040489962399999995
,,1.9512046712,87,2.0313872312,47,3.2314374552,40,3.6776561912,0.080023919999999998,3.6777064152,528,3.3571417112,0.0414561544
,,1.9512119512,47,2.0314374552,575,3.2814374552,40,4.7584271512,0.080720735999999987,4.7584344312,40,3.4373224312,0.040172506400000001
,,2.0314374552,47,3.1115969112,47,3.3314374552,40,4.8386123512,0.080185199999999983,4.8386196312,40,3.4373224312,0.040172506400000001
,,3.0314374552,87,3.1116041912,87,3.3814374552,40,4.9189287512,0.080316399999999982,4.9189395512,80,3.5174335512,0.040103482400000001
,,3.1115969112,87,3.1951701912,47,3.4314374552,40,4.9990657912,0.080137039999999992,4.9990730712,40,3.5174335512,0.040103482400000001
,,3.1116041912,47,3.1951774712,87,3.4814374552,40,,,,,3.5976395512,0.040201338399999994
,,3.1951701912,127,3.2756674712,47,3.5314374552,40,,,,,3.6777064152,0.040061882399999998
,,3.1951774712,47,3.2756782712,127,4.6777064152,40,,,,,4.7584344312,0.04070669839999999
,,3.2756674712,87,3.3571344312,47,4.7277064152,40,,,,,4.8386196312,0.040177594400000002
,,3.2756782712,47,3.3571417112,87,4.7777064152,40,,,,,4.9189395512,0.040309082400000001
,,3.3571344312,127,3.4373116312,47,4.8277064152,40,,,,,4.9189395512,0.040309082400000001
,,3.3571417112,47,3.4373224312,127,4.8777064152,40,,,,,4.9990730712,0.040126234400000001
,,3.4373116312,127,3.5174227512,47,4.9277064152,40,,,,,,
,,3.4373224312,47,3.5174335512,127,4.9777064152,40,,,,,,
,,3.5174227512,87,3.5976322712,47,,,,,,,,
,,3.5174335512,47,3.5976395512,87,,,,,,,,
,,3.5976322712,87,3.6776561912,47,,,,,,,,
,,3.5976395512,47,3.6777064152,575,,,,,,,,
,,3.6777064152,47,4.7584271512,47,,,,,,,,
,,4.6777064152,87,4.7584344312,87,,,,,,,,
,,4.7584271512,87,4.8386123512,47,,,,,,,,
,,4.7584344312,47,4.8386196312,87,,,,,,,,
,,4.8386123512,127,4.9189287512,47,,,,,,,,
,,4.8386196312,47,4.9189395512,127,,,,,,,,
,,4.9189287512,87,4.9990657912,47,,,,,,,,
,,4.9189395512,47,4.9990730712,87,,,,,,,,
,,4.9990657912,127,,,,,,,,,,
,,4.9990730712,47,,,,,,,,,,
