numActiveSessions:vector baselineTestQoS.hostFDO[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[3].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[3].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostFDO[3].tcp.conn-470 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostFDO[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.01567771029,51,0.09588716789,51,0.09588716789,800,0.17597229029,0.080085122399999985,0.17610382629,1452,0.17610382629,0.040137108800000001
0.01567771029,1,0.09588716789,47,0.17597229029,47,,,,,0.25624308629,1452,0.25624308629,0.120276368800000004
0.17610382629,0,0.09588754389,847,0.17610382629,1499,,,,,0.25636300629,1452,0.25636300629,0.1203962888
,,0.17610382629,47,0.25624308629,1499,,,,,0.33648197029,1452,0.33648197029,0.200515252799999987
,,0.17610420229,47,0.25636300629,1499,,,,,0.33660189029,1452,0.33660189029,0.200635172799999982
,,0.25624308629,47,0.257991449585,47,,,,,0.338359065585,1452,0.338359065585,0.202392348095000006
,,0.25636300629,47,0.33648197029,1499,,,,,0.340975547359,1452,0.340975547359,0.205008829868999985
,,0.33648197029,47,0.33660189029,1499,,,,,0.41672085429,1452,0.41672085429,0.280754136799999941
,,0.33660189029,47,0.338359065585,1499,,,,,0.41684077429,1452,0.41684077429,0.280874056799999992
,,0.338359065585,47,0.340975547359,1499,,,,,0.418596750385,1452,0.418596750385,0.282630032894999993
,,0.340975547359,47,0.41672085429,1499,,,,,0.421213232159,1452,0.421213232159,0.285246514668999972
,,0.41672085429,47,0.41684077429,1499,,,,,0.423862430803,1452,0.423862430803,0.287895713313000011
,,0.41684077429,47,0.418596750385,1499,,,,,0.426624892536,1452,0.426624892536,0.290658175045999999
,,0.418596750385,47,0.421213232159,1499,,,,,0.429272693267,1452,0.429272693267,0.293305975777000015
,,0.421213232159,47,0.423862430803,1499,,,,,0.431955160943,1452,0.431955160943,0.295988443453000015
,,0.423862430803,47,0.426624892536,1499,,,,,0.49696453909,1452,0.49696453909,0.360997821599999933
,,0.426624892536,47,0.429272693267,1499,,,,,0.49708445909,1452,0.49708445909,0.361117741599999984
,,0.429272693267,47,0.431955160943,1499,,,,,0.498812160206,1452,0.498812160206,0.362845442715999942
,,0.431955160943,47,0.49696453909,1499,,,,,0.501450916959,1452,0.501450916959,0.365484199469000013
,,0.49696453909,47,0.49708445909,1499,,,,,0.504101314803,1452,0.504101314803,0.36813459731300002
,,0.49708445909,47,0.498812160206,1499,,,,,0.506837337607,1452,0.506837337607,0.370870620117000003
,,0.498812160206,47,0.501450916959,1499,,,,,0.509510378067,1452,0.509510378067,0.373543660576999945
,,0.501450916959,47,0.504101314803,1499,,,,,0.512192133217,1452,0.512192133217,0.376225415726999965
,,0.504101314803,47,0.506837337607,1499,,,,,0.514872250402,1452,0.514872250402,0.378905532912000018
,,0.506837337607,47,0.509510378067,1499,,,,,0.517620946615,1452,0.517620946615,0.38165422912500002
,,0.509510378067,47,0.512192133217,1499,,,,,0.520193841328,1452,0.520193841328,0.384227123837999949
,,0.512192133217,47,0.514872250402,1499,,,,,0.522995961276,1452,0.522995961276,0.387029243786000008
,,0.514872250402,47,0.517620946615,1499,,,,,0.525592972536,1452,0.525592972536,0.389626255046000011
,,0.517620946615,47,0.520193841328,1499,,,,,0.528296853244,1452,0.528296853244,0.392330135753999995
,,0.520193841328,47,0.522995961276,1499,,,,,0.530916932943,1452,0.530916932943,0.394950215453000017
,,0.522995961276,47,0.525592972536,1499,,,,,0.533600434244,1452,0.533600434244,0.397633716753999942
,,0.525592972536,47,0.528296853244,1499,,,,,0.57720342309,1452,0.57720342309,0.441236705599999943
,,0.528296853244,47,0.530916932943,1499,,,,,0.57732334309,1452,0.57732334309,0.441356625599999994
,,0.530916932943,47,0.533600434244,1499,,,,,0.579038080206,1452,0.579038080206,0.443071362716000003
,,0.533600434244,47,0.57720342309,1499,,,,,0.581688601759,1452,0.581688601759,0.445721884268999944
,,0.57720342309,47,0.57732334309,1499,,,,,0.584340198803,1452,0.584340198803,0.44837348131299992
,,0.57732334309,47,0.579038080206,1499,,,,,0.587057257607,1452,0.587057257607,0.451090540117000003
,,0.579038080206,47,0.581688601759,1499,,,,,0.589707144007,1452,0.589707144007,0.45374042651699997
,,0.581688601759,47,0.584340198803,1499,,,,,0.592429818017,1452,0.592429818017,0.456463100527000007
,,0.584340198803,47,0.587057257607,1499,,,,,0.595109935202,1452,0.595109935202,0.459143217711999949
,,0.587057257607,47,0.589707144007,1499,,,,,0.597859830615,1452,0.597859830615,0.461893113124999919
,,0.589707144007,47,0.592429818017,1499,,,,,0.600413761328,1452,0.600413761328,0.464447043837999949
,,0.592429818017,47,0.595109935202,1499,,,,,0.603239646076,1452,0.603239646076,0.467272928586
