numActiveSessions:vector baselineTestQoS.hostSSH[32].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[32].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[32].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[32].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[32].tcp.conn-609 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[32].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[32].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.73895149559,51,0.81907593269,51,1.81907593269,40,1.8997645112,0.080688578509999997,1.8997717912,40,1.8997717912,0.040684172909999996
0.73895149559,1,0.81907593269,47,1.8997645112,47,1.86907593269,40,1.9798867512,0.080122239999999983,1.9798940312,40,1.9798940312,0.040114634400000001
,,1.81907593269,87,1.8997717912,87,1.91907593269,40,2.0601030712,0.080216319999999979,2.0601138712,80,2.0601138712,0.040209002399999998
,,1.8997645112,87,1.9798867512,47,1.96907593269,40,2.1426095512,0.082506479999999992,2.1426168312,40,2.0601138712,0.040209002399999998
,,1.8997717912,47,1.9798940312,87,2.01907593269,40,2.2230980312,0.08048848,2.2231088312,80,2.1426168312,0.042498298399999995
,,1.9798867512,127,2.0601030712,47,2.06907593269,40,2.3034416312,0.080343599999999986,2.3034524312,80,2.2231088312,0.040483786399999998
,,1.9798940312,47,2.0601138712,127,2.11907593269,40,2.3834677112,0.080026079999999999,2.3834749912,40,2.2231088312,0.040483786399999998
,,2.0601030712,87,2.1426095512,47,2.16907593269,40,2.4635469912,0.080079280000000002,2.4635972152,528,2.3034524312,0.040333082399999997
,,2.0601138712,47,2.1426168312,87,2.21907593269,40,3.5437685112,0.080171296000000002,3.5437757912,40,2.3034524312,0.040333082399999997
,,2.1426095512,127,2.2230980312,47,2.26907593269,40,3.6238061912,0.080037679999999999,3.6238134712,40,2.3834749912,0.040017898400000001
,,2.1426168312,47,2.2231088312,127,2.31907593269,40,3.7040763512,0.080270159999999978,3.7040871512,80,2.4635972152,0.040117242400000002
,,2.2230980312,127,2.3034416312,47,3.4635972152,40,3.7843099512,0.080233599999999987,3.7843172312,40,3.5437757912,0.040166890400000001
,,2.2231088312,47,2.3034524312,127,3.5135972152,40,3.8644515512,0.080141599999999979,3.8644623512,80,3.6238134712,0.04003007439999999
,,2.3034416312,87,2.3834677112,47,3.5635972152,40,3.9446377912,0.080186239999999991,3.9446485912,80,3.7040871512,0.040262842399999998
,,2.3034524312,47,2.3834749912,87,3.6135972152,40,4.0247172312,0.080079440000000001,4.0247245112,40,3.7040871512,0.040262842399999998
,,2.3834677112,87,2.4635469912,47,3.6635972152,40,4.1077613912,0.083044160000000005,4.1078116152,528,3.7843172312,0.040222794399999997
,,2.3834749912,47,2.4635972152,575,3.7135972152,40,,,,,3.8644623512,0.040136906399999991
,,2.4635972152,47,3.5437685112,47,3.7635972152,40,,,,,3.8644623512,0.040136906399999991
,,3.4635972152,87,3.5437757912,87,3.8135972152,40,,,,,3.9446485912,0.040175722400000002
,,3.5437685112,87,3.6238061912,47,3.8635972152,40,,,,,3.9446485912,0.040175722400000002
,,3.5437757912,47,3.6238134712,87,3.9135972152,40,,,,,4.0247245112,0.040071258399999989
,,3.6238061912,127,3.7040763512,47,3.9635972152,40,,,,,4.1078116152,0.043082122399999991
,,3.6238134712,47,3.7040871512,127,,,,,,,,
,,3.7040763512,87,3.7843099512,47,,,,,,,,
,,3.7040871512,47,3.7843172312,87,,,,,,,,
,,3.7843099512,127,3.8644515512,47,,,,,,,,
,,3.7843172312,47,3.8644623512,127,,,,,,,,
,,3.8644515512,127,3.9446377912,47,,,,,,,,
,,3.8644623512,47,3.9446485912,127,,,,,,,,
,,3.9446377912,87,4.0247172312,47,,,,,,,,
,,3.9446485912,47,4.0247245112,87,,,,,,,,
,,4.0247172312,87,4.1077613912,47,,,,,,,,
,,4.0247245112,47,4.1078116152,575,,,,,,,,
,,4.1078116152,47,,,,,,,,,,
