numActiveSessions:vector baselineTestQoS.hostSSH[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[18].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[18].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[18].tcp.conn-527 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[18].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.282590651936,51,0.362800109536,51,1.362800109536,40,1.4430125912,0.080212481663999995,1.4430198712,40,1.4430198712,0.040196218399999997
0.282590651936,1,0.362800109536,47,1.4430125912,47,1.412800109536,40,1.5233683512,0.080355759999999998,1.5233756312,40,1.5233756312,0.040348154400000002
,,1.362800109536,87,1.4430198712,87,1.462800109536,40,1.6035945912,0.080226240000000003,1.6036053912,80,1.6036053912,0.040218922399999995
,,1.4430125912,87,1.5233683512,47,1.512800109536,40,1.6837637912,0.080169199999999995,1.6837710712,40,1.6036053912,0.040218922399999995
,,1.4430198712,47,1.5233756312,87,1.562800109536,40,1.7639735512,0.08020975999999999,1.7639843512,80,1.6837710712,0.040161018399999997
,,1.5233683512,127,1.6035945912,47,1.612800109536,40,1.8441645912,0.08019103999999999,1.8441753912,80,1.7639843512,0.040202442399999996
,,1.5233756312,47,1.6036053912,127,1.662800109536,40,1.9243349912,0.080170400000000002,1.9243422712,40,1.7639843512,0.040202442399999996
,,1.6035945912,87,1.6837637912,47,1.712800109536,40,2.0047537112,0.080418719999999998,2.0048039352,528,1.8441753912,0.040183146399999994
,,1.6036053912,47,1.6837710712,87,1.762800109536,40,3.0884577912,0.083653855999999998,3.0884650712,40,1.8441753912,0.040183146399999994
,,1.6837637912,127,1.7639735512,47,1.812800109536,40,3.1745857912,0.086127999999999982,3.1745930712,40,1.9243422712,0.04016221839999999
,,1.6837710712,47,1.7639843512,127,1.862800109536,40,3.2548132312,0.080227439999999982,3.2548240312,80,2.0048039352,0.040454058399999992
,,1.7639735512,127,1.8441645912,47,3.0048039352,40,3.3348886712,0.080075439999999997,3.3348994712,80,3.0884650712,0.043649450399999997
,,1.7639843512,47,1.8441753912,127,3.0548039352,40,3.4151021112,0.080213439999999996,3.4151093912,40,3.1745930712,0.046117194399999991
,,1.8441645912,87,1.9243349912,47,3.1048039352,40,3.4952697912,0.08016767999999999,3.4952805912,80,3.2548240312,0.0402195464
,,1.8441753912,47,1.9243422712,87,3.1548039352,40,3.5753412312,0.080071439999999993,3.5753485112,40,3.2548240312,0.0402195464
,,1.9243349912,87,2.0047537112,47,3.2048039352,40,3.6555749912,0.080233759999999987,3.6556252152,528,3.3348994712,0.040064922399999994
,,1.9243422712,47,2.0048039352,575,3.2548039352,40,4.7360270712,0.080401855999999993,4.7360343512,40,3.3348994712,0.040064922399999994
,,2.0048039352,47,3.0884577912,47,3.3048039352,40,4.8161941112,0.080167039999999994,4.8162013912,40,3.4151093912,0.040208458399999993
,,3.0048039352,87,3.0884650712,87,3.3548039352,40,4.8963353912,0.080141279999999981,4.8963461912,80,3.4952805912,0.040162986400000002
,,3.0884577912,87,3.1745857912,47,3.4048039352,40,4.9764874712,0.080152079999999986,4.9764947512,40,3.4952805912,0.040162986400000002
,,3.0884650712,47,3.1745930712,87,3.4548039352,40,,,,,3.5753485112,0.04007065039999999
,,3.1745857912,127,3.2548132312,47,3.5048039352,40,,,,,3.6556252152,0.040268538399999997
,,3.1745930712,47,3.2548240312,127,4.6556252152,40,,,,,4.7360343512,0.040301210399999995
,,3.2548132312,127,3.3348886712,47,4.7056252152,40,,,,,4.8162013912,0.040159434399999999
,,3.2548240312,47,3.3348994712,127,4.7556252152,40,,,,,4.8963461912,0.0401339624
,,3.3348886712,87,3.4151021112,47,4.8056252152,40,,,,,4.8963461912,0.0401339624
,,3.3348994712,47,3.4151093912,87,4.8556252152,40,,,,,4.9764947512,0.040143898400000002
,,3.4151021112,127,3.4952697912,47,4.9056252152,40,,,,,,
,,3.4151093912,47,3.4952805912,127,4.9556252152,40,,,,,,
,,3.4952697912,87,3.5753412312,47,,,,,,,,
,,3.4952805912,47,3.5753485112,87,,,,,,,,
,,3.5753412312,87,3.6555749912,47,,,,,,,,
,,3.5753485112,47,3.6556252152,575,,,,,,,,
,,3.6556252152,47,4.7360270712,47,,,,,,,,
,,4.6556252152,87,4.7360343512,87,,,,,,,,
,,4.7360270712,87,4.8161941112,47,,,,,,,,
,,4.7360343512,47,4.8162013912,87,,,,,,,,
,,4.8161941112,127,4.8963353912,47,,,,,,,,
,,4.8162013912,47,4.8963461912,127,,,,,,,,
,,4.8963353912,87,4.9764874712,47,,,,,,,,
,,4.8963461912,47,4.9764947512,87,,,,,,,,
,,4.9764874712,127,,,,,,,,,,
,,4.9764947512,47,,,,,,,,,,
