numActiveSessions:vector baselineTestQoS.hostSSH[7].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[7].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[7].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[7].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[7].tcp.conn-564 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[7].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[7].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.490081768413,51,0.570171513743,51,1.570171513743,40,1.6502039512,0.080032437457000004,1.6502112312,40,1.6502112312,0.04002803185699999
0.490081768413,1,0.570171513743,47,1.6502039512,47,1.620171513743,40,1.7303431512,0.080139199999999993,1.7303504312,40,1.7303504312,0.040131594399999997
,,1.570171513743,87,1.6502112312,87,1.670171513743,40,1.8104137112,0.080070559999999984,1.8104245112,80,1.8104245112,0.0400661224
,,1.6502039512,87,1.7303431512,47,1.720171513743,40,1.8904797912,0.080066079999999983,1.8904870712,40,1.8104245112,0.0400661224
,,1.6502112312,47,1.7303504312,87,1.770171513743,40,1.9705313912,0.0800516,1.9705421912,80,1.8904870712,0.040057898399999999
,,1.7303431512,127,1.8104137112,47,1.820171513743,40,2.0506153912,0.080083999999999988,2.0506261912,80,1.9705421912,0.040044282399999991
,,1.7303504312,47,1.8104245112,127,1.870171513743,40,2.1334752312,0.082859839999999989,2.1334825112,40,1.9705421912,0.040044282399999991
,,1.8104137112,87,1.8904797912,47,1.920171513743,40,2.2161525912,0.082677360000000004,2.2162028152,528,2.0506261912,0.040076106399999991
,,1.8104245112,47,1.8904870712,87,1.970171513743,40,3.2980945912,0.081891775999999999,3.2981018712,40,2.0506261912,0.040076106399999991
,,1.8904797912,127,1.9705313912,47,2.020171513743,40,3.3782773912,0.080182799999999998,3.3782846712,40,2.1334825112,0.042851658399999992
,,1.8904870712,47,1.9705421912,127,2.070171513743,40,3.4583716312,0.080094239999999982,3.4583824312,80,2.2162028152,0.042712698399999998
,,1.9705313912,127,2.0506153912,47,3.2162028152,40,3.5384573112,0.080085679999999992,3.5384645912,40,3.2981018712,0.041887370399999998
,,1.9705421912,47,2.0506261912,127,3.2662028152,40,3.6186994712,0.080242160000000006,3.6187102712,80,3.3782846712,0.040175194400000002
,,2.0506153912,87,2.1334752312,47,3.3162028152,40,3.6987517112,0.080052239999999996,3.6987625112,80,3.4583824312,0.040086922400000002
,,2.0506261912,47,2.1334825112,87,3.3662028152,40,3.7794329112,0.08068119999999998,3.7794401912,40,3.4583824312,0.040086922400000002
,,2.1334752312,87,2.2161525912,47,3.4162028152,40,3.8595488312,0.080115919999999978,3.8595990552,528,3.5384645912,0.040077498399999994
,,2.1334825112,47,2.2162028152,575,3.4662028152,40,4.9396169912,0.080017935999999983,4.9396242712,40,3.6187102712,0.040240266400000001
,,2.2162028152,47,3.2980945912,47,3.5162028152,40,,,,,3.6187102712,0.040240266400000001
,,3.2162028152,87,3.2981018712,87,3.5662028152,40,,,,,3.6987625112,0.040044346399999999
,,3.2980945912,87,3.3782773912,47,3.6162028152,40,,,,,3.6987625112,0.040044346399999999
,,3.2981018712,47,3.3782846712,87,3.6662028152,40,,,,,3.7794401912,0.040673018399999996
,,3.3782773912,127,3.4583716312,47,3.7162028152,40,,,,,3.8595990552,0.0401512584
,,3.3782846712,47,3.4583824312,127,4.8595990552,40,,,,,4.9396242712,0.040016298399999996
,,3.4583716312,87,3.5384573112,47,4.9095990552,40,,,,,,
,,3.4583824312,47,3.5384645912,87,4.9595990552,40,,,,,,
,,3.5384573112,127,3.6186994712,47,,,,,,,,
,,3.5384645912,47,3.6187102712,127,,,,,,,,
,,3.6186994712,127,3.6987517112,47,,,,,,,,
,,3.6187102712,47,3.6987625112,127,,,,,,,,
,,3.6987517112,87,3.7794329112,47,,,,,,,,
,,3.6987625112,47,3.7794401912,87,,,,,,,,
,,3.7794329112,87,3.8595488312,47,,,,,,,,
,,3.7794401912,47,3.8595990552,575,,,,,,,,
,,3.8595990552,47,4.9396169912,47,,,,,,,,
,,4.8595990552,87,4.9396242712,87,,,,,,,,
,,4.9396169912,87,,,,,,,,,,
,,4.9396242712,47,,,,,,,,,,
