numActiveSessions:vector baselineTestQoS.hostSSH[34].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[34].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[34].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[34].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[34].tcp.conn-643 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[34].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[34].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.928029036585,51,1.008197243603,51,2.008197243603,40,2.0921334712,0.083936227596999978,2.0921407512,40,2.0921407512,0.043925578399999998
0.928029036585,1,1.008197243603,47,2.0921334712,47,2.058197243603,40,2.1744483512,0.082314880000000006,2.1744556312,40,2.1744556312,0.042307274399999996
,,2.008197243603,87,2.0921407512,87,2.108197243603,40,2.2545350712,0.08008672,2.2545458712,80,2.2545458712,0.040076202399999996
,,2.0921334712,87,2.1744483512,47,2.158197243603,40,2.3347479512,0.080212879999999986,2.3347552312,40,2.2545458712,0.040076202399999996
,,2.0921407512,47,2.1744556312,87,2.208197243603,40,2.4148257912,0.080077839999999983,2.4148365912,80,2.3347552312,0.040207898399999997
,,2.1744483512,127,2.2545350712,47,2.258197243603,40,2.4949518712,0.080126079999999988,2.4949626712,80,2.4148365912,0.040067322399999993
,,2.1744556312,47,2.2545458712,127,2.308197243603,40,2.5749878712,0.080035999999999995,2.5749951512,40,2.4148365912,0.040067322399999993
,,2.2545350712,87,2.3347479512,47,2.358197243603,40,2.6550489912,0.080061119999999985,2.6550992152,528,2.4949626712,0.040118186399999991
,,2.2545458712,47,2.3347552312,87,2.408197243603,40,3.7352123512,0.080113136000000001,3.7352196312,40,2.4949626712,0.040118186399999991
,,2.3347479512,127,2.4148257912,47,2.458197243603,40,3.8153574712,0.080145119999999986,3.8153647512,40,2.5749951512,0.040031018399999992
,,2.3347552312,47,2.4148365912,127,2.508197243603,40,3.8954652312,0.080107759999999999,3.8954760312,80,2.6550992152,0.040096458399999992
,,2.4148257912,127,2.4949518712,47,3.6550992152,40,3.9756649912,0.08019975999999998,3.9756722712,40,3.7352196312,0.0401087304
,,2.4148365912,47,2.4949626712,127,3.7050992152,40,4.0557781112,0.080113119999999981,4.0557889112,80,3.8153647512,0.04013751439999999
,,2.4949518712,87,2.5749878712,47,3.7550992152,40,4.1361095512,0.080331440000000003,4.1361203512,80,3.8954760312,0.040097242399999996
,,2.4949626712,47,2.5749951512,87,3.8050992152,40,4.2164161112,0.080306559999999998,4.2164233912,40,3.8954760312,0.040097242399999996
,,2.5749878712,87,2.6550489912,47,3.8550992152,40,4.2981442712,0.081728159999999993,4.2981944952,528,3.9756722712,0.040194778399999991
,,2.5749951512,47,2.6550992152,575,3.9050992152,40,,,,,4.0557889112,0.040102602399999992
,,2.6550992152,47,3.7352123512,47,3.9550992152,40,,,,,4.0557889112,0.040102602399999992
,,3.6550992152,87,3.7352196312,87,4.0050992152,40,,,,,4.1361203512,0.040329546399999999
,,3.7352123512,87,3.8153574712,47,4.0550992152,40,,,,,4.1361203512,0.040329546399999999
,,3.7352196312,47,3.8153647512,87,4.1050992152,40,,,,,4.2164233912,0.040301578399999995
,,3.8153574712,127,3.8954652312,47,4.1550992152,40,,,,,4.2981944952,0.041763498400000001
,,3.8153647512,47,3.8954760312,127,,,,,,,,
,,3.8954652312,87,3.9756649912,47,,,,,,,,
,,3.8954760312,47,3.9756722712,87,,,,,,,,
,,3.9756649912,127,4.0557781112,47,,,,,,,,
,,3.9756722712,47,4.0557889112,127,,,,,,,,
,,4.0557781112,127,4.1361095512,47,,,,,,,,
,,4.0557889112,47,4.1361203512,127,,,,,,,,
,,4.1361095512,87,4.2164161112,47,,,,,,,,
,,4.1361203512,47,4.2164233912,87,,,,,,,,
,,4.2164161112,87,4.2981442712,47,,,,,,,,
,,4.2164233912,47,4.2981944952,575,,,,,,,,
,,4.2981944952,47,,,,,,,,,,
