numActiveSessions:vector baselineTestQoS.hostFDO[12].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[12].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[12].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[12].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostFDO[12].tcp.conn-469 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[12].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostFDO[12].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.012192073078,51,0.092401530678,51,0.092401530678,800,0.172486653078,0.080085122399999985,0.172618189078,1452,0.172618189078,0.040137108800000001
0.012192073078,1,0.092401530678,47,0.172486653078,47,,,,,0.252757449078,1452,0.252757449078,0.120276368800000004
0.172618189078,0,0.092401906678,847,0.172618189078,1499,,,,,0.252877369078,1452,0.252877369078,0.1203962888
,,0.172618189078,47,0.252757449078,1499,,,,,0.332996333078,1452,0.332996333078,0.200515252799999987
,,0.172618565078,47,0.252877369078,1499,,,,,0.333116253078,1452,0.333116253078,0.200635172799999982
,,0.252757449078,47,0.254464374645,47,,,,,0.334881402445,1452,0.334881402445,0.202400322166999989
,,0.252877369078,47,0.332996333078,1499,,,,,0.337519225585,1452,0.337519225585,0.205038145306999985
,,0.332996333078,47,0.333116253078,1499,,,,,0.413235217078,1452,0.413235217078,0.280754136799999941
,,0.333116253078,47,0.334881402445,1499,,,,,0.413355137078,1452,0.413355137078,0.280874056799999992
,,0.334881402445,47,0.337519225585,1499,,,,,0.415064817078,1452,0.415064817078,0.282583736799999928
,,0.337519225585,47,0.413235217078,1499,,,,,0.417756910385,1452,0.417756910385,0.285275830106999971
,,0.413235217078,47,0.413355137078,1499,,,,,0.420454001328,1452,0.420454001328,0.28797292104999994
,,0.413355137078,47,0.415064817078,1499,,,,,0.423142510803,1452,0.423142510803,0.290661430524999929
,,0.415064817078,47,0.417756910385,1499,,,,,0.425798972536,1452,0.425798972536,0.293317892257999977
,,0.417756910385,47,0.420454001328,1499,,,,,0.428448693267,1452,0.428448693267,0.295967612988999982
,,0.420454001328,47,0.423142510803,1499,,,,,0.493474101078,1452,0.493474101078,0.360993020799999951
,,0.423142510803,47,0.425798972536,1499,,,,,0.493594021078,1452,0.493594021078,0.361112940800000003
,,0.425798972536,47,0.428448693267,1499,,,,,0.495302501878,1452,0.495302501878,0.362821421599999969
,,0.428448693267,47,0.493474101078,1499,,,,,0.497994595185,1452,0.497994595185,0.365513514907000012
,,0.493474101078,47,0.493594021078,1499,,,,,0.500615686128,1452,0.500615686128,0.368134605850000016
,,0.493594021078,47,0.495302501878,1499,,,,,0.503342510803,1452,0.503342510803,0.370861430524999978
,,0.495302501878,47,0.497994595185,1499,,,,,0.506017417607,1452,0.506017417607,0.373536337328999933
,,0.497994595185,47,0.500615686128,1499,,,,,0.508691337267,1452,0.508691337267,0.376210256989000011
,,0.500615686128,47,0.503342510803,1499,,,,,0.511324534217,1452,0.511324534217,0.378843453938999983
,,0.503342510803,47,0.506017417607,1499,,,,,0.514012490402,1452,0.514012490402,0.381531410123999935
,,0.506017417607,47,0.508691337267,1499,,,,,0.51669341867,1452,0.51669341867,0.384212338391999972
,,0.508691337267,47,0.511324534217,1499,,,,,0.519434081328,1452,0.519434081328,0.386953001049999965
,,0.511324534217,47,0.514012490402,1499,,,,,0.522197160476,1452,0.522197160476,0.389716080197999968
,,0.514012490402,47,0.51669341867,1499,,,,,0.524800115603,1452,0.524800115603,0.392319035325000008
,,0.51669341867,47,0.519434081328,1499,,,,,0.527437093244,1452,0.527437093244,0.394956012966000023
,,0.519434081328,47,0.522197160476,1499,,,,,0.530057172943,1452,0.530057172943,0.397576092664999934
,,0.522197160476,47,0.524800115603,1499,,,,,0.573665994088,1452,0.573665994088,0.441184913810000021
,,0.524800115603,47,0.527437093244,1499,,,,,0.573785914088,1452,0.573785914088,0.441304833809999961
,,0.527437093244,47,0.530057172943,1499,,,,,0.575546186678,1452,0.575546186678,0.443065106399999961
,,0.530057172943,47,0.573665994088,1499,,,,,0.57816318309,1452,0.57816318309,0.445682102811999934
,,0.573665994088,47,0.573785914088,1499,,,,,0.580859370928,1452,0.580859370928,0.448378290650000008
,,0.573785914088,47,0.575546186678,1499,,,,,0.583536510803,1452,0.583536510803,0.451055430524999965
,,0.575546186678,47,0.57816318309,1499,,,,,0.586217417607,1452,0.586217417607,0.453736337328999981
,,0.57816318309,47,0.580859370928,1499,,,,,0.588916478359,1452,0.588916478359,0.456435398080999975
,,0.580859370928,47,0.583536510803,1499,,,,,0.591562219017,1452,0.591562219017,0.459081138739000024
,,0.583536510803,47,0.586217417607,1499,,,,,0.594251374402,1452,0.594251374402,0.461770294123999945
,,0.586217417607,47,0.588916478359,1499,,,,,0.596892912966,1452,0.596892912966,0.464411832688000013
,,0.588916478359,47,0.591562219017,1499,,,,,0.599654001328,1452,0.599654001328,0.467172921049999965
,,0.591562219017,47,0.594251374402,1499,,,,,0.602436044476,1452,0.602436044476,0.469954964197999977
,,0.594251374402,47,0.596892912966,1499,,,,,0.604938999603,1452,0.604938999603,0.472457919324999917
,,0.596892912966,47,0.599654001328,1499,,,,,0.607588887644,1452,0.607588887644,0.475107807366
,,0.599654001328,47,0.602436044476,1499,,,,,0.610258984007,1452,0.610258984007,0.477777903728999973
,,0.602436044476,47,0.604938999603,1499,,,,,0.612941468834,1452,0.612941468834,0.480460388555999926
,,0.604938999603,47,0.607588887644,1499,,,,,0.615689418616,1452,0.615689418616,0.483208338337999918
,,0.607588887644,47,0.610258984007,1499,,,,,0.618398905585,1452,0.618398905585,0.485917825307000003
,,0.610258984007,47,0.612941468834,1499,,,,,0.621011606128,1452,0.621011606128,0.488530525850000006
,,0.612941468834,47,0.615689418616,1499,,,,,0.623710396172,1452,0.623710396172,0.491229315893999982
,,0.615689418616,47,0.618398905585,1499,,,,,0.626344812536,1452,0.626344812536,0.493863732257999952
,,0.618398905585,47,0.621011606128,1499,,,,,0.629186099797,1452,0.629186099797,0.496705019518999922
,,0.621011606128,47,0.623710396172,1499,,,,,0.631752813099,1452,0.631752813099,0.49927173282100001
,,0.623710396172,47,0.626344812536,1499,,,,,0.634410783986,1452,0.634410783986,0.501929703707999939
,,0.626344812536,47,0.629186099797,1499,,,,,0.637019225585,1452,0.637019225585,0.504538145306999916
,,0.629186099797,47,0.631752813099,1499,,,,,0.639793841328,1452,0.639793841328,0.507312761049999891
,,0.631752813099,47,0.634410783986,1499,,,,,0.642419361328,1452,0.642419361328,0.50993828104999994
,,0.634410783986,47,0.637019225585,1499,,,,,0.645115996172,1452,0.645115996172,0.512634915894000007
,,0.637019225585,47,0.639793841328,1499,,,,,0.647796916323,1452,0.647796916323,0.515315836044999863
,,0.639793841328,47,0.642419361328,1499,,,,,0.650477092943,1452,0.650477092943,0.517996012664999836
,,0.642419361328,47,0.645115996172,1499,,,,,0.653137973217,1452,0.653137973217,0.520656892938999858
