numActiveSessions:vector baselineTestQoS.hostSSH[30].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[30].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[30].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[30].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[30].tcp.conn-503 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[30].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[30].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.203179672842,51,0.283389130442,51,1.283389130442,40,1.3635457112,0.080156580758,1.3635529912,40,1.3635529912,0.040152175158
0.203179672842,1,0.283389130442,47,1.3635457112,47,1.333389130442,40,1.4436409112,0.080095200000000004,1.4436481912,40,1.4436481912,0.040087594399999995
,,1.283389130442,87,1.3635529912,87,1.383389130442,40,1.5240289912,0.08038808,1.5240397912,80,1.5240397912,0.040380762399999991
,,1.3635457112,87,1.4436409112,47,1.433389130442,40,1.6040881912,0.080059199999999996,1.6040954712,40,1.5240397912,0.040380762399999991
,,1.3635529912,47,1.4436481912,87,1.483389130442,40,1.6842541912,0.080165999999999986,1.6842649912,80,1.6040954712,0.040051018399999998
,,1.4436409112,127,1.5240289912,47,1.533389130442,40,1.7643532312,0.080099039999999982,1.7643640312,80,1.6842649912,0.040158682399999992
,,1.4436481912,47,1.5240397912,127,1.583389130442,40,1.8445442712,0.08019103999999999,1.8445515512,40,1.6842649912,0.040158682399999992
,,1.5240289912,87,1.6040881912,47,1.633389130442,40,1.9247114712,0.080167199999999993,1.9247616952,528,1.7643640312,0.040091146399999999
,,1.5240397912,47,1.6040954712,87,1.683389130442,40,3.0048861912,0.080124495999999989,3.0048934712,40,1.7643640312,0.040091146399999999
,,1.6040881912,127,1.6842541912,47,1.733389130442,40,3.0884685112,0.083582319999999987,3.0884757912,40,1.8445515512,0.040182858399999993
,,1.6040954712,47,1.6842649912,127,1.783389130442,40,3.1745965112,0.086127999999999982,3.1746073112,80,1.9247616952,0.040202538400000001
,,1.6842541912,127,1.7643532312,47,2.9247616952,40,3.2548271512,0.080230639999999991,3.2548344312,40,3.0048934712,0.040120090400000002
,,1.6842649912,47,1.7643640312,127,2.9747616952,40,3.3349025912,0.080075439999999997,3.3349133912,80,3.0884757912,0.043580138399999995
,,1.7643532312,87,1.8445442712,47,3.0247616952,40,3.4151128312,0.080210239999999987,3.4151236312,80,3.1746073112,0.046117482399999992
,,1.7643640312,47,1.8445515512,87,3.0747616952,40,3.4952837112,0.080170879999999999,3.4952909912,40,3.1746073112,0.046117482399999992
,,1.8445442712,87,1.9247114712,47,3.1247616952,40,3.5753519512,0.080068239999999984,3.5754021752,528,3.2548344312,0.040219258399999999
,,1.8445515512,47,1.9247616952,575,3.1747616952,40,4.6555885112,0.080186335999999996,4.6555957912,40,3.3349133912,0.040064922399999994
,,1.9247616952,47,3.0048861912,47,3.2247616952,40,4.7356505912,0.080062079999999979,4.7356578712,40,3.3349133912,0.040064922399999994
,,2.9247616952,87,3.0048934712,87,3.2747616952,40,4.8158097112,0.08015912,4.8158205112,80,3.4151236312,0.040208746399999994
,,3.0048861912,87,3.0884685112,47,3.3247616952,40,4.8960741112,0.080264399999999985,4.8960813912,40,3.4151236312,0.040208746399999994
,,3.0048934712,47,3.0884757912,87,3.3747616952,40,4.9763397112,0.080265599999999992,4.9763505112,80,3.4952909912,0.040162698400000001
,,3.0884685112,127,3.1745965112,47,3.4247616952,40,,,,,3.5754021752,0.040109834400000002
,,3.0884757912,47,3.1746073112,127,4.5754021752,40,,,,,4.6555957912,0.040171514399999996
,,3.1745965112,87,3.2548271512,47,4.6254021752,40,,,,,4.7356578712,0.040051274400000003
,,3.1746073112,47,3.2548344312,87,4.6754021752,40,,,,,4.8158205112,0.040151802399999991
,,3.2548271512,127,3.3349025912,47,4.7254021752,40,,,,,4.8158205112,0.040151802399999991
,,3.2548344312,47,3.3349133912,127,4.7754021752,40,,,,,4.8960813912,0.040256218400000001
,,3.3349025912,127,3.4151128312,47,4.8254021752,40,,,,,4.9763505112,0.040255082400000002
,,3.3349133912,47,3.4151236312,127,4.8754021752,40,,,,,4.9763505112,0.040255082400000002
,,3.4151128312,87,3.4952837112,47,4.9254021752,40,,,,,,
,,3.4151236312,47,3.4952909912,87,4.9754021752,40,,,,,,
,,3.4952837112,87,3.5753519512,47,,,,,,,,
,,3.4952909912,47,3.5754021752,575,,,,,,,,
,,3.5754021752,47,4.6555885112,47,,,,,,,,
,,4.5754021752,87,4.6555957912,87,,,,,,,,
,,4.6555885112,87,4.7356505912,47,,,,,,,,
,,4.6555957912,47,4.7356578712,87,,,,,,,,
,,4.7356505912,127,4.8158097112,47,,,,,,,,
,,4.7356578712,47,4.8158205112,127,,,,,,,,
,,4.8158097112,87,4.8960741112,47,,,,,,,,
,,4.8158205112,47,4.8960813912,87,,,,,,,,
,,4.8960741112,127,4.9763397112,47,,,,,,,,
,,4.8960813912,47,4.9763505112,127,,,,,,,,
,,4.9763397112,127,,,,,,,,,,
,,4.9763505112,47,,,,,,,,,,
