numActiveSessions:vector baselineTestQoS.hostSSH[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[15].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[15].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[15].tcp.conn-520 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.258732663342,51,0.338942120942,51,1.338942120942,40,1.4190433912,0.080101270257999984,1.4190506712,40,1.4190506712,0.040096864657999997
0.258732663342,1,0.338942120942,47,1.4190433912,47,1.388942120942,40,1.4991670712,0.080123680000000002,1.4991743512,40,1.4991743512,0.040116074399999992
,,1.338942120942,87,1.4190506712,87,1.438942120942,40,1.5792378712,0.080070799999999997,1.5792486712,80,1.5792486712,0.040063482400000002
,,1.4190433912,87,1.4991670712,47,1.488942120942,40,1.6592803512,0.080042479999999998,1.6592876312,40,1.5792486712,0.040063482400000002
,,1.4190506712,47,1.4991743512,87,1.538942120942,40,1.7395659512,0.080285599999999984,1.7395767512,80,1.6592876312,0.040034298400000001
,,1.4991670712,127,1.5792378712,47,1.588942120942,40,1.8196249112,0.080058959999999984,1.8196357112,80,1.7395767512,0.040278282399999989
,,1.4991743512,47,1.5792486712,127,1.638942120942,40,1.9004947512,0.080869839999999998,1.9005020312,40,1.7395767512,0.040278282399999989
,,1.5792378712,87,1.6592803512,47,1.688942120942,40,1.9806289912,0.080134239999999995,1.9806792152,528,1.8196357112,0.040051066400000001
,,1.5792486712,47,1.6592876312,87,1.738942120942,40,3.0608825112,0.080203295999999979,3.0608897912,40,1.8196357112,0.040051066400000001
,,1.6592803512,127,1.7395659512,47,1.788942120942,40,3.1430697112,0.082187199999999987,3.1430769912,40,1.9005020312,0.0408616584
,,1.6592876312,47,1.7395767512,127,1.838942120942,40,3.2247205912,0.08165087999999998,3.2247313912,80,1.9806792152,0.040169578400000002
,,1.7395659512,127,1.8196249112,47,2.9806792152,40,3.3050446712,0.080324079999999991,3.3050519512,40,3.0608897912,0.040198890399999992
,,1.7395767512,47,1.8196357112,127,3.0306792152,40,3.3850683512,0.080023679999999985,3.3850791512,80,3.1430769912,0.042179594399999992
,,1.8196249112,87,1.9004947512,47,3.0806792152,40,3.4651861912,0.080117839999999995,3.4651969912,80,3.2247313912,0.0416435624
,,1.8196357112,47,1.9005020312,87,3.1306792152,40,3.5452422712,0.080056080000000001,3.5452495512,40,3.2247313912,0.0416435624
,,1.9004947512,87,1.9806289912,47,3.1806792152,40,3.6252799512,0.080037679999999999,3.6253301752,528,3.3050519512,0.040315898399999994
,,1.9005020312,47,1.9806792152,575,3.2306792152,40,4.7054030712,0.080072896000000004,4.7054103512,40,3.3850791512,0.040018986399999997
,,1.9806792152,47,3.0608825112,47,3.2806792152,40,4.7856525112,0.080249440000000004,4.7856597912,40,3.3850791512,0.040018986399999997
,,2.9806792152,87,3.0608897912,87,3.3306792152,40,4.8658722712,0.08021976,4.8658830712,80,3.4651969912,0.0401105224
,,3.0608825112,87,3.1430697112,47,3.3806792152,40,4.9462732312,0.080400959999999993,4.9462805112,40,3.4651969912,0.0401105224
,,3.0608897912,47,3.1430769912,87,3.4306792152,40,,,,,3.5452495512,0.040047914399999995
,,3.1430697112,127,3.2247205912,47,3.4806792152,40,,,,,3.6253301752,0.040073018399999993
,,3.1430769912,47,3.2247313912,127,4.6253301752,40,,,,,4.7054103512,0.040068490399999989
,,3.2247205912,87,3.3050446712,47,4.6753301752,40,,,,,4.7856597912,0.040244458400000002
,,3.2247313912,47,3.3050519512,87,4.7253301752,40,,,,,4.8658830712,0.040209242399999997
,,3.3050446712,127,3.3850683512,47,4.7753301752,40,,,,,4.8658830712,0.040209242399999997
,,3.3050519512,47,3.3850791512,127,4.8253301752,40,,,,,4.9462805112,0.040392778399999995
,,3.3850683512,127,3.4651861912,47,4.8753301752,40,,,,,,
,,3.3850791512,47,3.4651969912,127,4.9253301752,40,,,,,,
,,3.4651861912,87,3.5452422712,47,4.9753301752,40,,,,,,
,,3.4651969912,47,3.5452495512,87,,,,,,,,
,,3.5452422712,87,3.6252799512,47,,,,,,,,
,,3.5452495512,47,3.6253301752,575,,,,,,,,
,,3.6253301752,47,4.7054030712,47,,,,,,,,
,,4.6253301752,87,4.7054103512,87,,,,,,,,
,,4.7054030712,87,4.7856525112,47,,,,,,,,
,,4.7054103512,47,4.7856597912,87,,,,,,,,
,,4.7856525112,127,4.8658722712,47,,,,,,,,
,,4.7856597912,47,4.8658830712,127,,,,,,,,
,,4.8658722712,87,4.9462732312,47,,,,,,,,
,,4.8658830712,47,4.9462805112,87,,,,,,,,
,,4.9462732312,127,,,,,,,,,,
,,4.9462805112,47,,,,,,,,,,
