rxPkOk:vector(packetBytes) baselineTestQoS.hostVIP[35].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetLossRate:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutDelay:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutLossRate:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,mos:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,taildropLossRate:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.80493558433,75,0.80493558433,0.060226779999999993,5,0,5,0.019999999999999996,5,0,5,4.368961297645100195,5,0
0.824942288972,75,0.824942288972,0.060233484641999998,,,,,,,,,,
0.844823065276,75,0.844823065276,0.060114260946000002,,,,,,,,,,
0.86495550433,75,0.86495550433,0.0602467,,,,,,,,,,
0.884803918803,75,0.884803918803,0.060095114472999991,,,,,,,,,,
0.904941332972,75,0.904941332972,0.060232528642000001,,,,,,,,,,
0.924920910076,75,0.924920910076,0.060212105745999999,,,,,,,,,,
0.944761462928,75,0.944761462928,0.060052658597999991,,,,,,,,,,
0.964887923603,75,0.964887923603,0.060179119273,,,,,,,,,,
0.984769613442,75,0.984769613442,0.060060809111999999,,,,,,,,,,
1.004798834876,75,1.004798834876,0.060090030545999997,,,,,,,,,,
1.024737398032,75,1.024737398032,0.06002859370199999,,,,,,,,,,
1.044797047603,75,1.044797047603,0.060088243272999996,,,,,,,,,,
1.06481566433,75,1.06481566433,0.060106859999999997,,,,,,,,,,
1.0847828904,75,1.0847828904,0.06007408606999999,,,,,,,,,,
1.1048440904,75,1.1048440904,0.060135286070000001,,,,,,,,,,
1.124900249442,75,1.124900249442,0.060191445112000002,,,,,,,,,,
1.144752182242,75,1.144752182242,0.060043377911999998,,,,,,,,,,
1.1647570552,75,1.1647570552,0.060048250869999999,,,,,,,,,,
1.1847426552,75,1.1847426552,0.060033850870000002,,,,,,,,,,
1.2049248152,75,1.2049248152,0.060216010870000002,,,,,,,,,,
1.2248380952,75,1.2248380952,0.06012929086999999,,,,,,,,,,
1.2448412952,75,1.2448412952,0.060132490869999999,,,,,,,,,,
1.2647904952,75,1.2647904952,0.060081690869999995,,,,,,,,,,
1.2847592952,75,1.2847592952,0.06005049087,,,,,,,,,,
1.3047175352,75,1.3047175352,0.060008730869999998,,,,,,,,,,
1.3247789752,75,1.3247789752,0.060070170869999994,,,,,,,,,,
1.3448097752,75,1.3448097752,0.060100970869999992,,,,,,,,,,
1.3653804152,75,1.3653804152,0.060671610870000003,,,,,,,,,,
1.3848441752,75,1.3848441752,0.060135370869999995,,,,,,,,,,
1.4049075352,75,1.4049075352,0.060198730869999994,,,,,,,,,,
1.4247562552,75,1.4247562552,0.06004745086999999,,,,,,,,,,
1.4448700152,75,1.4448700152,0.060161210869999995,,,,,,,,,,
1.4647317752,75,1.4647317752,0.060022970869999997,,,,,,,,,,
1.4847983352,75,1.4847983352,0.06008953086999999,,,,,,,,,,
1.5047492952,75,1.5047492952,0.06004049086999999,,,,,,,,,,
1.5247848152,75,1.5247848152,0.060076010870000001,,,,,,,,,,
1.5447481752,75,1.5447481752,0.060039370869999997,,,,,,,,,,
1.5650725752,75,1.5650725752,0.060363770869999999,,,,,,,,,,
1.5849373752,75,1.5849373752,0.060228570869999997,,,,,,,,,,
1.6048376152,75,1.6048376152,0.060128810869999993,,,,,,,,,,
1.6249143352,75,1.6249143352,0.060205530869999995,,,,,,,,,,
1.6447740152,75,1.6447740152,0.060065210869999996,,,,,,,,,,
1.6648695352,75,1.6648695352,0.060160730869999998,,,,,,,,,,
1.6851299352,75,1.6851299352,0.060421130869999991,,,,,,,,,,
1.7048711352,75,1.7048711352,0.060162330870000002,,,,,,,,,,
1.7248322552,75,1.7248322552,0.060123450869999997,,,,,,,,,,
1.7447916152,75,1.7447916152,0.060082810870000002,,,,,,,,,,
1.7647293752,75,1.7647293752,0.060020570869999997,,,,,,,,,,
1.7849975352,75,1.7849975352,0.060288730870000001,,,,,,,,,,
1.8048540952,75,1.8048540952,0.060145290869999992,,,,,,,,,,
1.8248398552,75,1.8248398552,0.060131050869999993,,,,,,,,,,
1.8447972952,75,1.8447972952,0.060088490869999996,,,,,,,,,,
1.8647216952,75,1.8647216952,0.060012890870000001,,,,,,,,,,
1.8847510552,75,1.8847510552,0.060042250869999993,,,,,,,,,,
1.9047471352,75,1.9047471352,0.060038330870000003,,,,,,,,,,
1.9247636952,75,1.9247636952,0.060054890870000001,,,,,,,,,,
1.9450412952,75,1.9450412952,0.060332490869999991,,,,,,,,,,
1.9647379352,75,1.9647379352,0.060029130870000002,,,,,,,,,,
1.9851482552,75,1.9851482552,0.060439450869999994,,,,,,,,,,
2.0048059352,75,2.0048059352,0.06009713087,,,,,,,,,,
2.0247306552,75,2.0247306552,0.06002185086999999,,,,,,,,,,
2.0448256952,75,2.0448256952,0.060116890869999994,,,,,,,,,,
2.0647184152,75,2.0647184152,0.060009610869999993,,,,,,,,,,
2.0866028952,75,2.0866028952,0.061894090870000001,,,,,,,,,,
2.1099682552,75,2.1099682552,0.065259450869999985,,,,,,,,,,
2.1277155352,75,2.1277155352,0.063006730869999999,,,,,,,,,,
2.1482189752,75,2.1482189752,0.063510170869999993,,,,,,,,,,
2.1686779352,75,2.1686779352,0.063969130870000001,,,,,,,,,,
2.1885582552,75,2.1885582552,0.06384945086999999,,,,,,,,,,
2.2074740952,75,2.2074740952,0.062765290869999989,,,,,,,,,,
2.2256567352,75,2.2256567352,0.060947930869999999,,,,,,,,,,
2.2448926552,75,2.2448926552,0.060183850869999999,,,,,,,,,,
2.2648691352,75,2.2648691352,0.06016033087,,,,,,,,,,
2.2848910552,75,2.2848910552,0.060182250869999995,,,,,,,,,,
2.3051308952,75,2.3051308952,0.06042209087,,,,,,,,,,
2.3249052952,75,2.3249052952,0.060196490869999993,,,,,,,,,,
2.3447926552,75,2.3447926552,0.060083850869999996,,,,,,,,,,
2.3648345752,75,2.3648345752,0.060125770869999997,,,,,,,,,,
2.3851717752,75,2.3851717752,0.060462970869999993,,,,,,,,,,
2.4047232152,75,2.4047232152,0.060014410869999992,,,,,,,,,,
2.4247872952,75,2.4247872952,0.06007849087,,,,,,,,,,
2.4447597752,75,2.4447597752,0.060050970869999997,,,,,,,,,,
2.4649550552,75,2.4649550552,0.060246250869999989,,,,,,,,,,
2.4847771352,75,2.4847771352,0.060068330869999991,,,,,,,,,,
2.5048294552,75,2.5048294552,0.06012065087,,,,,,,,,,
