numActiveSessions:vector baselineTestQoS.hostSSH[27].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[27].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[27].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[27].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[27].tcp.conn-622 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[27].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[27].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.813783371034,51,0.894016508634,51,1.894016508634,40,1.9743142712,0.080297762565999991,1.9743215512,40,1.9743215512,0.040280058399999998
0.813783371034,1,0.894016508634,47,1.9743142712,47,1.944016508634,40,2.0545305912,0.080216319999999979,2.0545378712,40,2.0545378712,0.040208714399999997
,,1.894016508634,87,1.9743215512,87,1.994016508634,40,2.1370533912,0.082522799999999979,2.1370641912,80,2.1370641912,0.042515482399999998
,,1.9743142712,87,2.0545305912,47,2.044016508634,40,2.2199106712,0.082857280000000005,2.2199179512,40,2.1370641912,0.042515482399999998
,,1.9743215512,47,2.0545378712,87,2.094016508634,40,2.3002598712,0.080349199999999981,2.3002706712,80,2.2199179512,0.042852298400000002
,,2.0545305912,127,2.1370533912,47,2.144016508634,40,2.3805543512,0.080294480000000001,2.3805651512,80,2.3002706712,0.040338682399999991
,,2.0545378712,47,2.1370641912,127,2.194016508634,40,2.4610911512,0.080536799999999991,2.4610984312,40,2.3002706712,0.040338682399999991
,,2.1370533912,87,2.2199106712,47,2.244016508634,40,2.5411696312,0.080078479999999979,2.5412198552,528,2.3805651512,0.04028658639999999
,,2.1370641912,47,2.2199179512,87,2.294016508634,40,3.6213623512,0.080142495999999979,3.6213696312,40,2.3805651512,0.04028658639999999
,,2.2199106712,127,2.3002598712,47,2.344016508634,40,3.7015125912,0.080150239999999983,3.7015198712,40,2.4610984312,0.040531818400000002
,,2.2199179512,47,2.3002706712,127,2.394016508634,40,3.7816258712,0.08011327999999998,3.7816366712,80,2.5412198552,0.0401138184
,,2.3002598712,127,2.3805543512,47,3.5412198552,40,3.8616539512,0.080028080000000001,3.8616612312,40,3.6213696312,0.040127978399999999
,,2.3002706712,47,2.3805651512,127,3.5912198552,40,3.9417078712,0.08005392,3.9417186712,80,3.7015198712,0.040142634400000001
,,2.3805543512,87,2.4610911512,47,3.6412198552,40,4.0217933112,0.080085439999999979,4.0218041112,80,3.7816366712,0.040102762399999991
,,2.3805651512,47,2.4610984312,87,3.6912198552,40,4.1039924312,0.082199119999999986,4.1039997112,40,3.7816366712,0.040102762399999991
,,2.4610911512,87,2.5411696312,47,3.7412198552,40,4.1860156312,0.08202319999999999,4.1860658552,528,3.8616612312,0.040023098399999998
,,2.4610984312,47,2.5412198552,575,3.7912198552,40,,,,,3.9417186712,0.040043402399999996
,,2.5412198552,47,3.6213623512,47,3.8412198552,40,,,,,3.9417186712,0.040043402399999996
,,3.5412198552,87,3.6213696312,87,3.8912198552,40,,,,,4.0218041112,0.040077546399999996
,,3.6213623512,87,3.7015125912,47,3.9412198552,40,,,,,4.0218041112,0.040077546399999996
,,3.6213696312,47,3.7015198712,87,3.9912198552,40,,,,,4.1039997112,0.042196378399999997
,,3.7015125912,127,3.7816258712,47,4.0412198552,40,,,,,4.1860658552,0.042058538399999997
,,3.7015198712,47,3.7816366712,127,,,,,,,,
,,3.7816258712,87,3.8616539512,47,,,,,,,,
,,3.7816366712,47,3.8616612312,87,,,,,,,,
,,3.8616539512,127,3.9417078712,47,,,,,,,,
,,3.8616612312,47,3.9417186712,127,,,,,,,,
,,3.9417078712,127,4.0217933112,47,,,,,,,,
,,3.9417186712,47,4.0218041112,127,,,,,,,,
,,4.0217933112,87,4.1039924312,47,,,,,,,,
,,4.0218041112,47,4.1039997112,87,,,,,,,,
,,4.1039924312,87,4.1860156312,47,,,,,,,,
,,4.1039997112,47,4.1860658552,575,,,,,,,,
,,4.1860658552,47,,,,,,,,,,
