numActiveSessions:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[1].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[1].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHliveDelay:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostLVD[1].tcp.conn-582 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHEstimatedBitrate:vector baselineTestQoS.hostLVD[1].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,131,0,240,0.603929906175,0,0.603929906175,51,0.684048466076,51,0.684048466076,0.684048466076000003,0.764282038876,0.080233572799999985,0.764413574876,0.040338839199999989,1.3611296632,100000,1.5513900552,720.0657927793999965
0.603929906175,1,1.5513900552,1,3.3827158712,1,1.3611296632,137,1.3611296632,240,2.3827158712,1,0.684048466076,47,0.764282038876,47,1.3611296632,1.361129663199999833,1.4413239512,0.080194288000000002,0.844708537276,0.120633801600000006,1.5513900552,17125,2.3827158712,1082.981431791399697
,,2.3827158712,2,4.3827158712,2,2,474,2,480,,,0.684048842076,247,0.764413574876,1499,2,2,2.0802549112,0.0802549112,0.844828457276,0.120753721600000001,2.3827158712,59250,3.4553549512,1218.043826350200103
,,3.3827158712,1,,,3,581,3,480,,,0.764413574876,47,0.844708537276,1499,2.3827158712,2.382715871199999377,3.0802648312,0.080264831199999997,0.925172142076,0.20109740640000001,3.4553549512,72625,4.4899483192,1405.522849336599841
,,3.4553549512,2,,,4,728,4,480,,,0.844708537276,47,0.844828457276,1499,3,3,4.0802574712,0.080257471199999985,0.925304062076,0.201229326399999962,4.4899483192,91000,,
,,4.3827158712,1,,,5,439,5,480,,,0.844828457276,47,0.925172142076,1499,3.3827158712,2.382715871199999377,,,0.927741978003,0.203667242327000007,,,,
,,4.4899483192,2,,,,,,,,,0.925172142076,47,0.925304062076,1499,4,3,,,0.93072902741,0.206654291733999961,,,,
,,,,,,,,,,,,0.925304062076,47,0.927741978003,1499,4.3827158712,2.382715871199999377,,,1.005515826876,0.281441091199999936,,,,
,,,,,,,,,,,,0.927741978003,47,0.93072902741,1499,5,3,,,1.005635746876,0.281561011199999987,,,,
,,,,,,,,,,,,0.93072902741,47,1.005515826876,1499,,,,,1.007862626876,0.283787891199999918,,,,
