rxPkOk:vector(packetBytes) baselineTestQoS.hostVIP[9].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVIP[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetLossRate:vector baselineTestQoS.hostVIP[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutDelay:vector baselineTestQoS.hostVIP[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutLossRate:vector baselineTestQoS.hostVIP[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,mos:vector baselineTestQoS.hostVIP[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,taildropLossRate:vector baselineTestQoS.hostVIP[9].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.70735210661,75,0.70735210661,0.060106859999999997,2.7543039352,0,2.7543039352,0.019999999999999996,2.7543039352,0,2.7543039352,4.369026056673099827,2.7543039352,0
0.72735210661,75,0.72735210661,0.060106859999999997,4.1743039352,0,4.1743039352,0.019999999999999996,4.1743039352,0,4.1743039352,4.369075445255099032,4.1743039352,0
0.74737202661,75,0.74737202661,0.06012677999999999,5,0,5,0.019999999999999996,5,0,5,4.3690453370131994,5,0
0.76737202661,75,0.76737202661,0.06012677999999999,,,,,,,,,,
0.787263749336,75,0.787263749336,0.060018502725999997,,,,,,,,,,
0.80735210661,75,0.80735210661,0.060106859999999997,,,,,,,,,,
0.827330589607,75,0.827330589607,0.060085342996999996,,,,,,,,,,
0.847391702003,75,0.847391702003,0.060146455392999994,,,,,,,,,,
0.867262793336,75,0.867262793336,0.060017546726,,,,,,,,,,
0.887309608948,75,0.887309608948,0.060064362337999998,,,,,,,,,,
0.907353892972,75,0.907353892972,0.060108646362,,,,,,,,,,
0.927370826003,75,0.927370826003,0.060125579392999991,,,,,,,,,,
0.94737202661,75,0.94737202661,0.06012677999999999,,,,,,,,,,
0.967368830407,75,0.967368830407,0.060123583797000001,,,,,,,,,,
0.98735210661,75,0.98735210661,0.060106859999999997,,,,,,,,,,
1.007481394876,75,1.007481394876,0.060236148266000002,,,,,,,,,,
1.027257378354,75,1.027257378354,0.060012131743999996,,,,,,,,,,
1.047329527603,75,1.047329527603,0.060084280992999991,,,,,,,,,,
1.06735210661,75,1.06735210661,0.060106859999999997,,,,,,,,,,
1.0873349704,75,1.0873349704,0.060089723789999993,,,,,,,,,,
1.1072664904,75,1.1072664904,0.060021243789999997,,,,,,,,,,
1.127442569442,75,1.127442569442,0.060197322831999994,,,,,,,,,,
1.147354164948,75,1.147354164948,0.060108918338,,,,,,,,,,
1.1676628952,75,1.1676628952,0.060417648589999997,,,,,,,,,,
1.1874770552,75,1.1874770552,0.06023180858999999,,,,,,,,,,
1.2073579352,75,1.2073579352,0.06011268858999999,,,,,,,,,,
1.2272642552,75,1.2272642552,0.060019008589999991,,,,,,,,,,
1.2472636952,75,1.2472636952,0.060018448589999995,,,,,,,,,,
1.2672535352,75,1.2672535352,0.06000828859,,,,,,,,,,
1.2873123352,75,1.2873123352,0.060067088589999997,,,,,,,,,,
1.3072598552,75,1.3072598552,0.06001460858999999,,,,,,,,,,
1.3273212952,75,1.3273212952,0.060076048589999999,,,,,,,,,,
1.3473628152,75,1.3473628152,0.060117568590000003,,,,,,,,,,
1.3674509752,75,1.3674509752,0.060205728589999993,,,,,,,,,,
1.3872605752,75,1.3872605752,0.060015328589999999,,,,,,,,,,
1.4080434552,75,1.4080434552,0.060798208589999999,,,,,,,,,,
1.4273032952,75,1.4273032952,0.060058048589999995,,,,,,,,,,
1.4474170552,75,1.4474170552,0.06017180859,,,,,,,,,,
1.4673880152,75,1.4673880152,0.060142768589999992,,,,,,,,,,
1.4873346552,75,1.4873346552,0.060089408589999989,,,,,,,,,,
1.5072995352,75,1.5072995352,0.06005428858999999,,,,,,,,,,
1.5274549752,75,1.5274549752,0.060209728589999997,,,,,,,,,,
1.5474044152,75,1.5474044152,0.060159168589999991,,,,,,,,,,
1.5673690552,75,1.5673690552,0.060123808589999993,,,,,,,,,,
1.5874844152,75,1.5874844152,0.060239168590000002,,,,,,,,,,
1.6072528952,75,1.6072528952,0.060007648589999989,,,,,,,,,,
1.6273307352,75,1.6273307352,0.060085488589999999,,,,,,,,,,
1.6475501752,75,1.6475501752,0.06030492859,,,,,,,,,,
1.6672938552,75,1.6672938552,0.060048608589999996,,,,,,,,,,
1.6873149752,75,1.6873149752,0.060069728589999995,,,,,,,,,,
1.7074014552,75,1.7074014552,0.060156208589999995,,,,,,,,,,
1.7273685752,75,1.7273685752,0.060123328589999996,,,,,,,,,,
1.7477016152,75,1.7477016152,0.060456368589999989,,,,,,,,,,
1.7673143352,75,1.7673143352,0.060069088589999999,,,,,,,,,,
1.7875338552,75,1.7875338552,0.06028860859,,,,,,,,,,
1.8072704952,75,1.8072704952,0.060025248589999996,,,,,,,,,,
1.8273060152,75,1.8273060152,0.060060768589999993,,,,,,,,,,
1.8473480952,75,1.8473480952,0.060102848589999993,,,,,,,,,,
1.8672580152,75,1.8672580152,0.06001276859,,,,,,,,,,
1.8874072952,75,1.8874072952,0.060162048590000002,,,,,,,,,,
1.9075509752,75,1.9075509752,0.060305728589999995,,,,,,,,,,
1.9273497752,75,1.9273497752,0.060104528589999997,,,,,,,,,,
2.7543039352,75,2.7543039352,0.060015386374999993,,,,,,,,,,
2.7743966552,75,2.7743966552,0.060108106374999997,,,,,,,,,,
2.7943113752,75,2.7943113752,0.06002282637499999,,,,,,,,,,
2.8147698552,75,2.8147698552,0.060481306375000001,,,,,,,,,,
2.8344478552,75,2.8344478552,0.060159306374999998,,,,,,,,,,
2.8542959352,75,2.8542959352,0.060007386374999999,,,,,,,,,,
2.8744091352,75,2.8744091352,0.060120586374999992,,,,,,,,,,
2.8944958552,75,2.8944958552,0.060207306374999991,,,,,,,,,,
2.9143596952,75,2.9143596952,0.060071146374999995,,,,,,,,,,
2.9343976952,75,2.9343976952,0.060109146374999991,,,,,,,,,,
2.9545453752,75,2.9545453752,0.060256826375000002,,,,,,,,,,
2.9743622552,75,2.9743622552,0.060073706374999993,,,,,,,,,,
2.9943312152,75,2.9943312152,0.060042666374999997,,,,,,,,,,
3.0143500152,75,3.0143500152,0.060061466374999996,,,,,,,,,,
3.0343998552,75,3.0343998552,0.060111306374999992,,,,,,,,,,
3.0544732952,75,3.0544732952,0.060184746375,,,,,,,,,,
3.0743454552,75,3.0743454552,0.060056906374999996,,,,,,,,,,
3.0998531352,75,3.0998531352,0.065564586374999983,,,,,,,,,,
3.1174176952,75,3.1174176952,0.063129146375,,,,,,,,,,
3.1400321752,75,3.1400321752,0.065743626375000002,,,,,,,,,,
4.6701057752,75,4.6701057752,0.060071152172,,,,,,,,,,
4.6900432152,75,4.6900432152,0.060008592171999996,,,,,,,,,,
4.7102370552,75,4.7102370552,0.060202432171999997,,,,,,,,,,
4.7301960152,75,4.7301960152,0.060161392171999991,,,,,,,,,,
4.7500456952,75,4.7500456952,0.060011072171999995,,,,,,,,,,
4.7701827352,75,4.7701827352,0.060148112172,,,,,,,,,,
4.7904864952,75,4.7904864952,0.060451872172000001,,,,,,,,,,
4.8102292152,75,4.8102292152,0.060194592172000002,,,,,,,,,,
4.8302039352,75,4.8302039352,0.060169312171999999,,,,,,,,,,
4.8500572152,75,4.8500572152,0.060022592171999996,,,,,,,,,,
4.8704636152,75,4.8704636152,0.060428992171999998,,,,,,,,,,
4.8902537752,75,4.8902537752,0.060219152171999995,,,,,,,,,,
4.9101025752,75,4.9101025752,0.060067952171999991,,,,,,,,,,
4.9300857752,75,4.9300857752,0.060051152171999993,,,,,,,,,,
4.9502557752,75,4.9502557752,0.060221152171999997,,,,,,,,,,
4.9702763352,75,4.9702763352,0.060241712172,,,,,,,,,,
4.9901474552,75,4.9901474552,0.060112832172000002,,,,,,,,,,
