numActiveSessions:vector baselineTestQoS.hostSSH[12].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[12].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[12].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[12].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[12].tcp.conn-536 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[12].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[12].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.317870121235,51,0.398079578835,51,1.398079578835,40,1.4782614712,0.080181892364999978,1.4782687512,40,1.4782687512,0.040177486764999992
0.317870121235,1,0.398079578835,47,1.4782614712,47,1.448079578835,40,1.5582898712,0.080028399999999999,1.5582971512,40,1.5582971512,0.040020794399999989
,,1.398079578835,87,1.4782687512,87,1.498079578835,40,1.6383431512,0.080053280000000004,1.6383539512,80,1.6383539512,0.040045962399999995
,,1.4782614712,87,1.5582898712,47,1.548079578835,40,1.7184346712,0.080091519999999999,1.7184419512,40,1.6383539512,0.040045962399999995
,,1.4782687512,47,1.5582971512,87,1.598079578835,40,1.7986416312,0.080206959999999993,1.7986524312,80,1.7184419512,0.040083338400000001
,,1.5582898712,127,1.6383431512,47,1.648079578835,40,1.8787891512,0.080147519999999999,1.8787999512,80,1.7986524312,0.040202522399999995
,,1.5582971512,47,1.6383539512,127,1.698079578835,40,1.9591385912,0.080349439999999993,1.9591458712,40,1.7986524312,0.040202522399999995
,,1.6383431512,87,1.7184346712,47,1.748079578835,40,2.0393104312,0.080171839999999993,2.0393606552,528,1.8787999512,0.040139626400000002
,,1.6383539512,47,1.7184419512,87,1.798079578835,40,3.1228476312,0.08348697599999999,3.1228549112,40,1.8787999512,0.040139626400000002
,,1.7184346712,127,1.7986416312,47,1.848079578835,40,3.2064380312,0.08359039999999998,3.2064453112,40,1.9591458712,0.040341258399999996
,,1.7184419512,47,1.7986524312,127,1.898079578835,40,3.2873417912,0.080903759999999991,3.2873525912,80,2.0393606552,0.040207178400000001
,,1.7986416312,127,1.8787891512,47,3.0393606552,40,3.3673984312,0.080056639999999984,3.3674057112,40,3.1228549112,0.043472618399999995
,,1.7986524312,47,1.8787999512,127,3.0893606552,40,3.4475097912,0.080111359999999992,3.4475205912,80,3.2064453112,0.043582794399999999
,,1.8787891512,87,1.9591385912,47,3.1393606552,40,3.5275447512,0.080034959999999988,3.5275555512,80,3.2873525912,0.040896442399999996
,,1.8787999512,47,1.9591458712,87,3.1893606552,40,3.6078025112,0.080257759999999983,3.6078097912,40,3.2873525912,0.040896442399999996
,,1.9591385912,87,2.0393104312,47,3.2393606552,40,3.6879232312,0.080120720000000006,3.6879734552,528,3.3674057112,0.0400484584
,,1.9591458712,47,2.0393606552,575,3.2893606552,40,4.7681249112,0.080151455999999981,4.7681321912,40,3.4475205912,0.040104042399999997
,,2.0393606552,47,3.1228476312,47,3.3393606552,40,4.8483651512,0.08024023999999999,4.8483724312,40,3.4475205912,0.040104042399999997
,,3.0393606552,87,3.1228549112,87,3.3893606552,40,4.9285104312,0.080145279999999985,4.9285212312,80,3.5275555512,0.040027066399999991
,,3.1228476312,87,3.2064380312,47,3.4393606552,40,,,,,3.5275555512,0.040027066399999991
,,3.1228549112,47,3.2064453112,87,3.4893606552,40,,,,,3.6078097912,0.040249578399999999
,,3.2064380312,127,3.2873417912,47,3.5393606552,40,,,,,3.6879734552,0.040156058399999999
,,3.2064453112,47,3.2873525912,127,4.6879734552,40,,,,,4.7681321912,0.040147050399999994
,,3.2873417912,87,3.3673984312,47,4.7379734552,40,,,,,4.8483724312,0.040232634399999994
,,3.2873525912,47,3.3674057112,87,4.7879734552,40,,,,,4.9285212312,0.04013796239999999
,,3.3673984312,127,3.4475097912,47,4.8379734552,40,,,,,4.9285212312,0.04013796239999999
,,3.3674057112,47,3.4475205912,127,4.8879734552,40,,,,,,
,,3.4475097912,127,3.5275447512,47,4.9379734552,40,,,,,,
,,3.4475205912,47,3.5275555512,127,4.9879734552,40,,,,,,
,,3.5275447512,87,3.6078025112,47,,,,,,,,
,,3.5275555512,47,3.6078097912,87,,,,,,,,
,,3.6078025112,87,3.6879232312,47,,,,,,,,
,,3.6078097912,47,3.6879734552,575,,,,,,,,
,,3.6879734552,47,4.7681249112,47,,,,,,,,
,,4.6879734552,87,4.7681321912,87,,,,,,,,
,,4.7681249112,87,4.8483651512,47,,,,,,,,
,,4.7681321912,47,4.8483724312,87,,,,,,,,
,,4.8483651512,127,4.9285104312,47,,,,,,,,
,,4.8483724312,47,4.9285212312,127,,,,,,,,
,,4.9285104312,87,,,,,,,,,,
,,4.9285212312,47,,,,,,,,,,
