txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.011726256428,51,0.091834698028,51
0.012292581078,51,0.092401022678,51
0.01577821829,51,0.09588665989,51
0.032804268127,51,0.112912709727,51
0.034164002566,51,0.114272444166,51
0.038920950986,51,0.119029392586,51
0.045254451719,51,0.120737535359,75
0.071689946722,51,0.125362893319,51
0.073962336265,51,0.140737535359,75
0.090034364127,51,0.151798388322,51
0.091837658028,47,0.154070777865,51
0.091841418028,247,0.154360138645,75
0.092408782678,47,0.160737535359,75
0.092412542678,847,0.169925160943,75
0.095760937224,51,0.170142805727,51
0.09589441989,47,0.171866572428,47
0.09589817989,847,0.171986492428,1499
0.10336121288,51,0.172486177078,47
0.112915669727,47,0.172606097078,1499
0.112919429727,247,0.174360138645,75
0.114275404166,47,0.175869378824,51
0.114279164166,247,0.17597181429,47
0.119130376586,47,0.17609173429,1499
0.120439781522,51,0.180637535359,75
0.125463877319,47,0.180643535359,75
0.130433492256,51,0.18346965448,51
0.151899372322,47,0.189925160943,75
0.152823159986,51,0.192944584127,47
0.154078537865,47,0.193064504127,1499
0.154082297865,847,0.194305359366,75
0.166827273933,51,0.194309119366,47
0.170145765727,47,0.194429039366,1499
0.170149525727,247,0.200548223122,51
0.172099060428,47,0.200637535359,75
0.172619041078,47,0.200643535359,75
0.172622801078,47,0.203004498803,75
0.174057234445,51,0.209925160943,75
0.175970362824,47,0.210541933856,51
0.17610467829,47,0.214360138645,75
0.17610843829,47,0.220637535359,75
0.18357063848,47,0.220643535359,75
0.185574174005,51,0.223004498803,75
0.193177072127,47,0.225566960536,75
0.194541607366,47,0.229925160943,75
0.19594452187,51,0.232931601586,51
0.196631010615,51,0.234155932265,47
0.200649207122,47,0.234275852265,1499
0.203280180842,51,0.234281852265,75
0.203620713931,51,0.240637535359,75
0.207868257948,51,0.240643535359,75
0.210642917856,47,0.243004498803,75
0.212610498244,51,0.245061380148,75
0.214752470486,51,0.245566960536,75
0.229873747663,51,0.246935715533,51
0.232934561586,47,0.249925160943,75
0.232938321586,247,0.250174680127,47
0.233829006418,51,0.250294600127,1499
0.234288796265,47,0.252225376428,1499
0.234292556265,47,0.252345296428,1499
0.246938675533,47,0.252745357078,1499
0.246942435533,247,0.252865277078,1499
0.250407168127,47,0.254165676045,51
0.252337944428,47,0.254360138645,75
0.252457864428,47,0.254463898645,47
0.252857925078,47,0.25623099429,1499
0.252977845078,47,0.25635091429,1499
0.254168636045,47,0.256887213585,75
0.254172396045,247,0.257990973585,47
0.25634356229,47,0.260637535359,75
0.25646348229,47,0.260643535359,75
0.258833171342,51,0.263004498803,75
0.261152826772,51,0.265061380148,75
0.265783599605,47,0.265566960536,75
0.266607126359,51,0.265682615605,51
0.273261438402,51,0.269925160943,75
0.273415956127,47,0.273303388127,1499
0.273535876127,47,0.273423308127,1499
0.274780491366,47,0.274360138645,75
0.274900411366,47,0.274667923366,1499
0.27605592347,47,0.274787843366,1499
0.27605968347,247,0.27605296347,51
0.276742412215,47,0.276739452215,51
0.276746172215,247,0.276887213585,75
0.281446108476,51,0.280637535359,75
0.282691159936,51,0.280643535359,75
0.283489606442,47,0.282904498803,75
0.283830139531,47,0.282910498803,75
0.287984459548,47,0.283388622442,51
0.287988219548,847,0.283729155531,51
0.291939532834,51,0.285061380148,75
0.292721899844,47,0.285566960536,75
0.292725659844,247,0.287976699548,51
0.294863872086,47,0.289925160943,75
0.294867632086,247,0.292718939844,51
0.303219641846,51,0.294325491921,75
0.303932998866,51,0.294331491921,75
0.309082451736,51,0.294860912086,51
0.309891149263,47,0.296887213585,75
0.309894909263,247,0.300637535359,75
0.313195963986,47,0.300643535359,75
0.314038432018,47,0.302904498803,75
0.314532481065,47,0.302910498803,75
0.314652401065,47,0.305061380148,75
0.317970629235,51,0.305566960536,75
0.327200077933,47,0.309884109263,75
0.330646052127,47,0.309888189263,51
0.330765972127,47,0.311954121217,75
0.332576828428,47,0.312963475986,47
0.332696748428,47,0.313083395986,1499
0.333096809078,47,0.313937448018,51
0.333216729078,47,0.314299993065,75
0.334330038445,51,0.314419913065,1499
0.334334118445,47,0.314539833065,1499
0.334861958445,47,0.314545833065,75
0.334981878445,47,0.316149593065,47
0.33658244629,47,0.316887213585,75
0.33670236629,47,0.320637535359,75
0.337619701585,47,0.320643535359,75
0.338139621585,47,0.322904498803,75
0.338459541585,47,0.322910498803,75
0.339042596942,47,0.325061380148,75
0.341076023359,47,0.325566960536,75
0.341264228372,47,0.326967589933,47
0.341267988372,247,0.327087509933,1499
0.346723327959,47,0.329925160943,75
0.346727087959,847,0.330533484127,1499
0.348212319667,51,0.330653404127,1499
0.353372840002,47,0.331954121217,75
0.353376600002,247,0.332464260428,1499
0.353654840127,47,0.332584180428,1499
0.353774760127,47,0.332984241078,1499
0.355019375366,47,0.333104161078,1499
0.355139295366,47,0.334197550445,47
0.355859215366,47,0.334317470445,1499
0.35631732587,47,0.334323470445,75
0.357003814615,47,0.334329470445,75
0.357229734615,47,0.334749390445,1499
0.359149654615,47,0.334869310445,1499
0.360569574615,47,0.33646987829,1499
0.361557510076,47,0.33658979829,1499
0.361561270076,247,0.336887213585,75
0.362900585536,47,0.337507133585,1499
0.367538440303,51,0.338027053585,1499
0.368194717948,47,0.338346973585,1499
0.368198477948,47,0.338941612942,51
0.371956934434,47,0.340637535359,75
0.371960694434,247,0.340643535359,75
0.372983302244,47,0.340963455359,1499
0.375125274486,47,0.341261268372,51
0.383331043446,47,0.342904498803,75
0.383334803446,247,0.342910498803,75
0.383602397817,51,0.345061380148,75
0.384044400466,47,0.345566960536,75
0.384048160466,247,0.346715567959,51
0.389291877336,47,0.349925160943,75
0.390064093099,47,0.351954121217,75
0.390067853099,51,0.353369880002,51
0.393434847986,47,0.353542272127,1499
0.393554767986,47,0.353662192127,1499
0.394771365065,47,0.354360138645,75
0.394891285065,47,0.354906807366,1499
0.396611205065,47,0.355026727366,1499
0.398180054835,47,0.355746647366,1499
0.399311558835,47,0.35608483787,47
0.405055866014,51,0.35620475787,1499
0.407438961933,47,0.356771326615,47
0.407558881933,47,0.356891246615,1499
0.410884936127,47,0.356897246615,75
0.411004856127,47,0.357117166615,1499
0.412820513228,47,0.359037086615,1499
0.412940433228,47,0.360457006615,1499
0.413335693078,47,0.360637535359,75
0.413455613078,47,0.360643535359,75
0.414370005078,47,0.361554550076,51
0.414373765078,247,0.362799601536,51
0.414393525078,47,0.362904498803,75
0.414599533078,47,0.362910498803,75
0.414725453078,47,0.365061380148,75
0.415045373078,47,0.365566960536,75
0.415165293078,47,0.368061853948,47
0.41682133029,47,0.368181773948,1499
0.41694125029,47,0.369925160943,75
0.417857386385,47,0.371949894434,75
0.418377306385,47,0.371953974434,51
0.418697226385,47,0.372750814244,47
0.419834557328,47,0.372870734244,1499
0.420193182696,51,0.374360138645,75
0.420554477328,47,0.374892786486,47
0.421313708159,47,0.375012706486,1499
0.421525630772,47,0.376887213585,75
0.421645550772,47,0.380637535359,75
0.423242986803,47,0.380643535359,75
0.423962906803,47,0.382904498803,75
0.424982826803,47,0.382910498803,75
0.425899448536,47,0.383328083446,51
0.426725368536,47,0.384041440466,51
0.426933586359,47,0.385061380148,75
0.426937346359,47,0.385566960536,75
0.428253130359,47,0.385785405607,75
0.428449169267,47,0.389190893336,51
0.428452929267,47,0.389921104463,75
0.429373169267,47,0.389924864463,47
0.430064160617,51,0.390044784463,1499
0.431557648943,47,0.391954121217,75
0.432055636943,47,0.393322279986,1499
0.433634242402,47,0.393442199986,1499
0.433893724127,47,0.394360138645,75
0.434013644127,47,0.394658797065,1499
0.435258259366,47,0.394778717065,1499
0.435378179366,47,0.396498637065,1499
0.436096900166,47,0.396887213585,75
0.43655620987,47,0.398079070835,51
0.43667612987,47,0.399198990835,1499
0.437242698615,47,0.400637535359,75
0.437362618615,47,0.400643535359,75
0.437482538615,47,0.402904498803,75
0.439385210235,47,0.402910498803,75
0.440807259415,47,0.405061380148,75
0.441818912476,47,0.405566960536,75
0.442738832476,47,0.405785405607,75
0.444042986803,47,0.407326393933,1499
0.446017893607,47,0.407446313933,1499
0.446996639644,51,0.409925160943,75
0.447337813607,47,0.410772368127,1499
0.447747865903,47,0.410892288127,1499
0.448433601948,47,0.411954121217,75
0.448553521948,47,0.412588025228,75
0.449273441948,47,0.412707945228,1499
0.450661408943,47,0.412827865228,1499
0.452218336834,47,0.413223125078,1499
0.452638256834,47,0.413343045078,1499
0.453222186244,47,0.414362965078,1499
0.453342106244,47,0.414367045078,51
