numActiveSessions:vector baselineTestQoS.hostSSH[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[14].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[14].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[14].tcp.conn-562 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[14].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.479573402663,51,0.559782860263,51,1.559782860263,40,1.6399220312,0.080139170936999986,1.6399293112,40,1.6399293112,0.040134765337
0.479573402663,1,0.559782860263,47,1.6399220312,47,1.609782860263,40,1.7201152312,0.080193199999999992,1.7201225112,40,1.7201225112,0.040185594399999996
,,1.559782860263,87,1.6399293112,87,1.659782860263,40,1.8002372312,0.080121999999999998,1.8002480312,80,1.8002480312,0.0401175624
,,1.6399220312,87,1.7201152312,47,1.709782860263,40,1.8802648312,0.080027600000000003,1.8802721112,40,1.8002480312,0.0401175624
,,1.6399293112,47,1.7201225112,87,1.759782860263,40,1.9604943512,0.080229519999999998,1.9605051512,80,1.8802721112,0.040019418399999992
,,1.7201152312,127,1.8002372312,47,1.809782860263,40,2.0405821112,0.080087759999999979,2.0405929112,80,1.9605051512,0.040222202399999989
,,1.7201225112,47,1.8002480312,127,1.859782860263,40,2.1218296312,0.081247519999999989,2.1218369112,40,1.9605051512,0.040222202399999989
,,1.8002372312,87,1.8802648312,47,1.909782860263,40,2.2029089912,0.081079359999999988,2.2029592152,528,2.0405929112,0.040079866399999996
,,1.8002480312,47,1.8802721112,87,1.959782860263,40,3.2846688312,0.081709615999999984,3.2846761112,40,2.0405929112,0.040079866399999996
,,1.8802648312,127,1.9604943512,47,2.009782860263,40,3.3648333912,0.080164559999999995,3.3648406712,40,2.1218369112,0.041239338399999991
,,1.8802721112,47,1.9605051512,127,2.059782860263,40,3.4451659512,0.080332559999999997,3.4451767512,80,2.2029592152,0.041114698399999996
,,1.9604943512,127,2.0405821112,47,3.2029592152,40,3.5256897912,0.080523839999999985,3.5256970712,40,3.2846761112,0.041700298400000001
,,1.9605051512,47,2.0405929112,127,3.2529592152,40,3.6061777912,0.080488000000000003,3.6061885912,80,3.3648406712,0.0401569544
,,2.0405821112,87,2.1218296312,47,3.3029592152,40,3.6864368312,0.080259040000000003,3.6864476312,80,3.4451767512,0.04032492239999999
,,2.0405929112,47,2.1218369112,87,3.3529592152,40,3.7666833912,0.080246559999999994,3.7666906712,40,3.4451767512,0.04032492239999999
,,2.1218296312,87,2.2029089912,47,3.4029592152,40,3.8467741912,0.080090799999999989,3.8468244152,528,3.5256970712,0.040515658400000001
,,2.1218369112,47,2.2029592152,575,3.4529592152,40,4.9269407512,0.080116335999999982,4.9269480312,40,3.6061885912,0.040480682399999995
,,2.2029592152,47,3.2846688312,47,3.5029592152,40,,,,,3.6061885912,0.040480682399999995
,,3.2029592152,87,3.2846761112,87,3.5529592152,40,,,,,3.6864476312,0.040251146399999992
,,3.2846688312,87,3.3648333912,47,3.6029592152,40,,,,,3.6864476312,0.040251146399999992
,,3.2846761112,47,3.3648406712,87,3.6529592152,40,,,,,3.7666906712,0.040238378399999996
,,3.3648333912,127,3.4451659512,47,3.7029592152,40,,,,,3.8468244152,0.040126138399999996
,,3.3648406712,47,3.4451767512,127,4.8468244152,40,,,,,4.9269480312,0.040111930399999995
,,3.4451659512,87,3.5256897912,47,4.8968244152,40,,,,,,
,,3.4451767512,47,3.5256970712,87,4.9468244152,40,,,,,,
,,3.5256897912,127,3.6061777912,47,4.9968244152,40,,,,,,
,,3.5256970712,47,3.6061885912,127,,,,,,,,
,,3.6061777912,127,3.6864368312,47,,,,,,,,
,,3.6061885912,47,3.6864476312,127,,,,,,,,
,,3.6864368312,87,3.7666833912,47,,,,,,,,
,,3.6864476312,47,3.7666906712,87,,,,,,,,
,,3.7666833912,87,3.8467741912,47,,,,,,,,
,,3.7666906712,47,3.8468244152,575,,,,,,,,
,,3.8468244152,47,4.9269407512,47,,,,,,,,
,,4.8468244152,87,4.9269480312,87,,,,,,,,
,,4.9269407512,87,,,,,,,,,,
,,4.9269480312,47,,,,,,,,,,
