rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[2].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.router0.ppp[2].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.872025488441,51,0.952150479499,51
0.952151463499,47,1.032219171994,47
0.952153439499,247,1.032339091994,1499
1.032351659994,47,1.1129275504,1499
1.1129401184,47,1.1130534704,1499
1.1130660384,47,1.1931693952,1499
1.1931819632,47,1.1932893152,1499
1.1933018832,47,1.1974063552,1499
1.1974189232,47,1.2022498752,1499
1.2022624432,47,1.2736325952,1499
1.2736451632,47,1.2738844352,1499
1.2738970032,47,1.2783364352,1499
1.2783490032,47,1.2826839552,1499
1.2826965232,47,1.2909379552,1499
1.2909505232,47,1.2933423552,1499
1.2933549232,47,1.2991465152,1499
1.2991590832,47,1.3039853152,1499
1.3039978832,47,1.3542335552,1499
1.3542461232,47,1.3548331552,1499
1.3548457232,47,1.3582209152,1499
1.3582334832,47,1.3631697152,1499
1.3631822832,47,1.3710765952,1499
1.3710891632,47,1.3739726752,1499
1.3739852432,47,1.3802445152,1499
1.3802570832,47,1.3849633952,1499
1.3849759632,47,1.3936655552,1499
1.3936781232,47,1.3977715552,1499
1.3977841232,47,1.4016329952,1499
1.4016455632,47,1.4059921152,1499
1.4060046832,47,1.4122617152,1499
1.4122742832,47,1.4167426752,1499
1.4167552432,47,1.4230387552,1499
1.4230513232,47,1.4274225152,1499
1.4274350832,47,1.4359788352,1499
1.4359914032,47,1.4381553952,1499
1.4381679632,47,1.4443836352,1499
1.4443962032,47,1.4491072352,1499
1.4491198032,47,1.4577823552,1499
1.4577949232,47,1.4687124352,1499
1.4687250032,47,1.4736655552,1499
1.4736781232,47,1.4792333152,1499
1.4792458832,47,1.4861227552,1499
1.4861353232,47,1.4898702752,1499
1.4898828432,47,1.4978317152,1499
1.4978442832,47,1.5006185952,1499
1.5006311632,47,1.5077785152,1499
1.5077910832,47,1.5112849152,1499
1.5112974832,47,1.5169571552,1499
1.5169697232,47,1.5220329952,1499
1.5220455632,47,1.5272084352,1499
1.5272210032,47,1.5327739552,1499
1.5327865232,47,1.5372469952,1499
1.5372595632,47,1.5435255552,1499
1.5435381232,47,1.5486089152,1499
1.5486214832,47,1.5541704352,1499
1.5541830032,47,1.5632550752,1499
1.5632676432,47,1.5648260352,1499
1.5648386032,47,1.5747526752,1499
1.5747652432,47,1.5755921152,1499
1.5756046832,47,1.5862617952,1499
1.5862743632,47,1.5877235552,1499
1.5877361232,47,1.5971467552,1499
1.5971593232,47,1.6015277152,1499
1.6015402832,47,1.6078517952,1499
1.6078643632,47,1.6132968352,1499
1.6133094032,47,1.6183694752,1499
1.6183820432,47,1.6264785952,1499
1.6264911632,47,1.6291348352,1499
1.6291474032,47,1.6395580352,1499
1.6395706032,47,1.6397978752,1499
1.6398104432,47,1.7201109952,1311
1.7201220592,47,1.8004965152,47
1.7201240352,247,1.8006164352,1499
1.8006290032,47,1.8007363552,1499
1.8007489232,47,1.8053330752,1499
1.8053456432,47,1.8099237952,1499
1.8099363632,47,1.8166748352,1499
1.8166874032,47,1.8204860352,1499
1.8204986032,47,1.8272993152,1499
1.8273118832,47,1.8311961152,1499
1.8312086832,47,1.8369873152,1499
1.8369998832,47,1.8418578752,1499
1.8418704432,47,1.8482035552,1499
1.8482161232,47,1.8526023552,1499
1.8526149232,47,1.8586570752,1499
1.8586696432,47,1.8632440352,1499
1.8632566032,47,1.8691820352,1499
1.8691946032,47,1.8739486752,1499
1.8739612432,47,1.8798948352,1499
1.8799074032,47,1.8847443552,1499
1.8847569232,47,1.8907261152,1499
1.8907386832,47,1.8954608352,1499
1.8954734032,47,1.9011128352,1499
1.9011254032,47,1.9060932352,1499
1.9061058032,47,1.9124848352,1499
1.9124974032,47,1.9168379552,1499
1.9168505232,47,1.9231195552,1499
1.9231321232,47,1.9275889152,1499
1.9276014832,47,1.9344017152,1499
1.9344142832,47,1.9382571552,1499
1.9382697232,47,1.9451605152,1499
1.9451730832,47,1.9488960352,1499
1.9489086032,47,1.9548494752,1499
1.9548620432,47,1.9596386752,1499
1.9596512432,47,1.9665360352,1499
1.9665486032,47,1.9704012352,1499
1.9704138032,47,1.9768557952,1499
1.9768683632,47,1.9810342752,1499
1.9810468432,47,1.9880678752,1499
1.9880804432,47,1.9918220352,1499
1.9918346032,47,1.9982257952,1499
1.9982383632,47,2.0024409952,1499
2.0024535632,47,2.0084347552,1499
2.0084473232,47,2.0131523552,1499
2.0131649232,47,2.0190858752,1499
2.0190984432,47,2.0239984352,1499
2.0240110032,47,2.0298013152,1499
2.0298138832,47,2.0345945952,1499
2.0346071632,47,2.0407117152,1499
2.0407242832,47,2.0453046752,1499
2.0453172432,47,2.0512306752,1499
2.0512432432,47,2.0559761152,1499
2.0559886832,47,2.0619235552,1499
2.0619361232,47,2.0667661152,1499
2.0667786832,47,2.0729989952,1499
2.0730115632,47,2.0774767552,1499
2.0774893232,47,2.0887607552,1499
2.0887733232,47,2.1002377152,1499
2.1002502832,47,2.1124858752,1499
2.1124984432,47,2.1242923552,1499
2.1243049232,47,2.1302331552,1499
2.1302457232,47,2.1450384352,1499
2.1450510032,47,2.1564705952,1499
2.1564831632,47,2.1622614752,1499
2.1622740432,47,2.1769151552,1499
2.1769277232,47,2.1858845952,1499
2.1858971632,47,2.1962744352,1499
2.1962870032,47,2.2044453952,1499
2.2044579632,47,2.2150690752,1499
2.2150816432,47,2.2278145952,1499
2.2278271632,47,2.2365255552,1499
2.2365381232,47,2.2482270752,1499
2.2482396432,47,2.2579284352,1499
2.2579410032,47,2.2689637152,1499
2.2689762832,47,2.2747817952,1499
2.2747943632,47,2.2803281152,1499
2.2803406832,47,2.2904306752,1499
2.2904432432,47,2.2956713952,1499
2.2956839632,47,2.3010010752,1499
2.3010136432,47,2.3124952352,1499
2.3125078032,47,2.3185920352,1499
2.3186046032,47,2.3223442752,1499
2.3223568432,47,2.3330989152,1499
2.3331114832,47,2.3341333952,1499
2.3341459632,47,2.3438145952,1499
2.3438271632,47,2.3455342752,1499
2.3455468432,47,2.3544556352,1499
2.3544682032,47,2.3569729952,1499
2.3569855632,47,2.3654334752,1499
2.3654460432,47,2.3680897152,1499
2.3681022832,47,2.3758233152,1499
2.3758358832,47,2.3800565152,1499
2.3800690832,47,2.3866101152,1499
2.3866226832,47,2.3918165952,1499
2.3918291632,47,2.3973745952,1499
2.3973871632,47,2.4000495552,1499
2.4000621232,47,2.4079723552,1499
2.4079849232,47,2.4097831552,1499
2.4097957232,47,2.4188198752,1499
2.4188324432,47,2.4201509952,1499
2.4201635632,47,2.4293675552,1499
2.4293801232,47,2.4302269152,1499
2.4302394832,47,2.4401383552,1499
2.4401509232,47,2.4406240352,1499
2.4406366032,47,2.4509169952,1499
2.4509295632,47,2.4513966752,1499
2.4514092432,47,2.4616972352,1499
2.4617098032,47,2.4621889152,1499
2.4622014832,47,2.4697978752,1499
2.4698104432,47,2.4723281952,1499
2.4723407632,47,2.4805173152,1499
2.4805298832,47,2.4830615552,1499
2.4830741232,47,2.4910662752,1499
2.4910788432,47,2.4937165152,1499
2.4937290832,47,2.5019146752,1499
2.5019272432,47,2.5044569952,1499
2.5044695632,47,2.5126974752,1499
2.5127100432,47,2.5152337952,1499
2.5152463632,47,2.5232205152,1499
2.5232330832,47,2.5258767552,1499
2.5258893232,47,2.5336495552,1499
2.5336621232,47,2.5365336352,1499
2.5365462032,47,2.5442989152,1499
2.5443114832,47,2.5473126752,1499
2.5473252432,47,2.5553551552,1499
2.5553677232,47,2.5580293952,1499
2.5580419632,47,2.5659009152,1499
2.5659134832,47,2.5686770752,1499
2.5686896432,47,2.5766972352,1499
2.5767098032,47,2.5794793952,1499
2.5794919632,47,2.5874828352,1499
2.5874954032,47,2.5901390752,1499
2.5901516432,47,2.5982684352,1499
2.5982810032,47,2.6008047552,1499
2.6008173232,47,2.6115793952,1499
2.6115919632,47,2.6120590752,1499
2.6120716432,47,2.6222428352,1499
2.6222554032,47,2.6231122752,1499
2.6231248432,47,2.7033417952,75
2.7033429712,47,2.7834837152,47
2.7033449472,247,2.7836036352,1499
2.7836162032,47,2.7837235552,1499
2.7837361232,47,2.7890420352,1499
2.7890546032,47,2.7928356352,1499
2.7928482032,47,2.7997490752,1499
2.7997616432,47,2.8036345152,1499
2.8036470832,47,2.8112554752,1499
2.8112680432,47,2.8141635552,1499
2.8141761232,47,2.8220119552,1499
2.8220245232,47,2.8248121152,1499
2.8248246832,47,2.8331040352,1499
2.8331166032,47,2.8356523552,1499
2.8356649232,47,2.8437554752,1499
2.8437680432,47,2.8462977952,1499
2.8463103632,47,2.8541693152,1499
2.8541818832,47,2.8570773952,1499
2.8570899632,47,2.8649621952,1499
2.8649747632,47,2.8678642752,1499
2.8678768432,47,2.8745283552,1499
2.8745409232,47,2.8785217152,1499
2.8785342832,47,2.8854351552,1499
2.8854477232,47,2.8891706752,1499
2.8891832432,47,2.8965457952,1499
2.8965583632,47,2.8999420352,1499
2.8999546032,47,2.9073518752,1499
2.9073644432,47,2.9107336352,1499
2.9107462032,47,2.9173286752,1499
2.9173412432,47,2.9211781152,1499
2.9211906832,47,2.9274079552,1499
2.9274205232,47,2.9322037152,1499
2.9322162832,47,2.9381385152,1499
2.9381510832,47,2.9431654752,1499
2.9431780432,47,2.9493473952,1499
2.9493599632,47,2.9534426752,1499
2.9534552432,47,2.9594973952,1499
2.9595099632,47,2.9643361952,1499
2.9643487632,47,2.9717053152,1499
2.9717178832,47,2.9754468352,1499
2.9754594032,47,2.9808839552,1499
2.9808965232,47,2.9857467552,1499
2.9857593232,47,2.9931193152,1499
2.9931318832,47,2.9962589952,1499
2.9962715632,47,3.0045161952,1499
3.0045287632,47,3.0075656352,1499
3.0075782032,47,3.0155299552,1499
3.0155425232,47,3.0179463552,1499
