numActiveSessions:vector baselineTestQoS.hostSSH[24].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[24].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[24].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[24].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[24].tcp.conn-548 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[24].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[24].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.383501889817,51,0.463711347417,51,1.463711347417,40,1.5440094712,0.080298123782999996,1.5440167512,40,1.5440167512,0.040293718182999996
0.383501889817,1,0.463711347417,47,1.5440094712,47,1.513711347417,40,1.6240557112,0.08004623999999999,1.6240629912,40,1.6240629912,0.040038634399999994
,,1.463711347417,87,1.5440167512,87,1.563711347417,40,1.7041292312,0.080073519999999981,1.7041400312,80,1.7041400312,0.0400662024
,,1.5440094712,87,1.6240557112,47,1.613711347417,40,1.7843847512,0.080255519999999996,1.7843920312,40,1.7041400312,0.0400662024
,,1.5440167512,47,1.6240629912,87,1.663711347417,40,1.8647053112,0.080320559999999985,1.8647161112,80,1.7843920312,0.040247338399999998
,,1.6240557112,127,1.7041292312,47,1.713711347417,40,1.9450249112,0.08031959999999999,1.9450357112,80,1.8647161112,0.04031324239999999
,,1.6240629912,47,1.7041400312,127,1.763711347417,40,2.0250939512,0.080069039999999979,2.0251012312,40,1.8647161112,0.04031324239999999
,,1.7041292312,87,1.7843847512,47,1.813711347417,40,2.1098860312,0.084792079999999991,2.1099362552,528,1.9450357112,0.040311706399999994
,,1.7041400312,47,1.7843920312,87,1.863711347417,40,3.1951594712,0.08522321599999999,3.1951667512,40,1.9450357112,0.040311706399999994
,,1.7843847512,127,1.8647053112,47,1.913711347417,40,3.2756567512,0.080497280000000003,3.2756640312,40,2.0251012312,0.040060858399999996
,,1.7843920312,47,1.8647161112,127,1.963711347417,40,3.3571205112,0.081463759999999995,3.3571313112,80,2.1099362552,0.044827418399999999
,,1.8647053112,127,1.9450249112,47,3.1099362552,40,3.4373009112,0.080180399999999984,3.4373081912,40,3.1951667512,0.045218810399999989
,,1.8647161112,47,1.9450357112,127,3.1599362552,40,3.5174088312,0.080107919999999998,3.5174196312,80,3.2756640312,0.040489674399999994
,,1.9450249112,87,2.0250939512,47,3.2099362552,40,3.5976183512,0.080209520000000006,3.5976291512,80,3.3571313112,0.041456442400000001
,,1.9450357112,47,2.0251012312,87,3.2599362552,40,3.6776454712,0.080027119999999978,3.6776527512,40,3.3571313112,0.041456442400000001
,,2.0250939512,87,2.1098860312,47,3.3099362552,40,3.7578517112,0.080206239999999983,3.7579019352,528,3.4373081912,0.0401722184
,,2.0251012312,47,2.1099362552,575,3.3599362552,40,4.8383497912,0.080447855999999983,4.8383570712,40,3.5174196312,0.040103482400000001
,,2.1099362552,47,3.1951594712,47,3.4099362552,40,4.9189180312,0.080568239999999985,4.9189253112,40,3.5174196312,0.040103482400000001
,,3.1099362552,87,3.1951667512,87,3.4599362552,40,4.9990518712,0.080133839999999983,4.9990626712,80,3.5976291512,0.040201626399999995
,,3.1951594712,87,3.2756567512,47,3.5099362552,40,,,,,3.5976291512,0.040201626399999995
,,3.1951667512,47,3.2756640312,87,3.5599362552,40,,,,,3.6776527512,0.040018938399999995
,,3.2756567512,127,3.3571205112,47,3.6099362552,40,,,,,3.7579019352,0.040241578399999991
,,3.2756640312,47,3.3571313112,127,4.7579019352,40,,,,,4.8383570712,0.040443450399999997
,,3.3571205112,87,3.4373009112,47,4.8079019352,40,,,,,4.9189253112,0.040560634399999989
,,3.3571313112,47,3.4373081912,87,4.8579019352,40,,,,,4.9990626712,0.040126522400000002
,,3.4373009112,127,3.5174088312,47,4.9079019352,40,,,,,4.9990626712,0.040126522400000002
,,3.4373081912,47,3.5174196312,127,4.9579019352,40,,,,,,
,,3.5174088312,127,3.5976183512,47,,,,,,,,
,,3.5174196312,47,3.5976291512,127,,,,,,,,
,,3.5976183512,87,3.6776454712,47,,,,,,,,
,,3.5976291512,47,3.6776527512,87,,,,,,,,
,,3.6776454712,87,3.7578517112,47,,,,,,,,
,,3.6776527512,47,3.7579019352,575,,,,,,,,
,,3.7579019352,47,4.8383497912,47,,,,,,,,
,,4.7579019352,87,4.8383570712,87,,,,,,,,
,,4.8383497912,87,4.9189180312,47,,,,,,,,
,,4.8383570712,47,4.9189253112,87,,,,,,,,
,,4.9189180312,127,4.9990518712,47,,,,,,,,
,,4.9189253112,47,4.9990626712,127,,,,,,,,
,,4.9990518712,87,,,,,,,,,,
,,4.9990626712,47,,,,,,,,,,
