numActiveSessions:vector baselineTestQoS.hostFDO[11].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[11].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[11].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[11].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostFDO[11].tcp.conn-604 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[11].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostFDO[11].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.699698283784,51,0.779931865806,51,0.779931865806,800,0.860083584206,0.080151718399999987,0.860215120206,1452,0.860215120206,0.040203704799999989
0.699698283784,1,0.779931865806,47,0.860083584206,47,,,,,0.940568965006,1452,0.940568965006,0.120557549599999979
0.860215120206,0,0.779932241806,847,0.860215120206,1499,,,,,0.940808805006,1452,0.940808805006,0.120797389599999998
,,0.860215120206,47,0.940568965006,1499,,,,,1.020913849006,1452,1.020913849006,0.200902433599999984
,,0.860215496206,47,0.940808805006,1499,,,,,1.021033769006,1452,1.021033769006,0.20102235359999998
,,0.940568965006,47,0.942412518928,47,,,,,1.022715910032,1452,1.022715910032,0.202704494625999986
,,0.940808805006,47,1.020913849006,1499,,,,,1.02556218593,1452,1.02556218593,0.205550770524000003
,,1.020913849006,47,1.021033769006,1499,,,,,1.1012158824,1452,1.1012158824,0.281204466993999923
,,1.021033769006,47,1.022715910032,1499,,,,,1.1014557224,1452,1.1014557224,0.281444306994000025
,,1.022715910032,47,1.02556218593,1499,,,,,1.1052152424,1452,1.1052152424,0.28520382699399993
,,1.02556218593,47,1.1012158824,1499,,,,,1.1090886824,1452,1.1090886824,0.289077266993999935
,,1.1012158824,47,1.1014557224,1499,,,,,1.1101814824,1452,1.1101814824,0.290170066993999941
,,1.1014557224,47,1.1052152424,1499,,,,,1.1139170024,1452,1.1139170024,0.293905586993999933
,,1.1052152424,47,1.1090886824,1499,,,,,1.1157067624,1452,1.1157067624,0.295695346994000018
,,1.1090886824,47,1.1101814824,1499,,,,,1.1170416424,1452,1.1170416424,0.297030226993999945
,,1.1101814824,47,1.1139170024,1499,,,,,1.1815363664,1452,1.1815363664,0.361524950993999947
,,1.1139170024,47,1.1157067624,1499,,,,,1.1816562864,1452,1.1816562864,0.361644870993999999
,,1.1157067624,47,1.1170416424,1499,,,,,1.1854795672,1452,1.1854795672,0.365468151793999938
,,1.1170416424,47,1.1815363664,1499,,,,,1.1889394872,1452,1.1889394872,0.368928071794
,,1.1815363664,47,1.1816562864,1499,,,,,1.1906243672,1452,1.1906243672,0.370612951794
,,1.1816562864,47,1.1854795672,1499,,,,,1.1924559672,1452,1.1924559672,0.372444551793999932
,,1.1854795672,47,1.1889394872,1499,,,,,1.1959614072,1452,1.1959614072,0.375949991794000014
,,1.1889394872,47,1.1906243672,1499,,,,,1.1989954072,1452,1.1989954072,0.378983991793999995
,,1.1906243672,47,1.1924559672,1499,,,,,1.2011766872,1452,1.2011766872,0.381165271793999947
,,1.1924559672,47,1.1959614072,1499,,,,,1.2032393272,1452,1.2032393272,0.383227911793999951
,,1.1959614072,47,1.1989954072,1499,,,,,1.2066378072,1452,1.2066378072,0.386626391793999933
,,1.1989954072,47,1.2011766872,1499,,,,,1.2108650072,1452,1.2108650072,0.390853591793999919
,,1.2011766872,47,1.2032393272,1499,,,,,1.2120642072,1452,1.2120642072,0.392052791793999987
,,1.2032393272,47,1.2066378072,1499,,,,,1.2163575672,1452,1.2163575672,0.39634615179400001
,,1.2066378072,47,1.2108650072,1499,,,,,1.2179420472,1452,1.2179420472,0.39793063179400001
,,1.2108650072,47,1.2120642072,1499,,,,,1.2236262872,1452,1.2236262872,0.403614871794000017
,,1.2120642072,47,1.2163575672,1499,,,,,1.2618770872,1452,1.2618770872,0.441865671793999935
,,1.2163575672,47,1.2179420472,1499,,,,,1.2619970072,1452,1.2619970072,0.441985591793999986
,,1.2179420472,47,1.2236262872,1499,,,,,1.2639504472,1452,1.2639504472,0.443939031793999958
,,1.2236262872,47,1.2618770872,1499,,,,,1.2663728472,1452,1.2663728472,0.446361431794000005
,,1.2618770872,47,1.2619970072,1499,,,,,1.2705207672,1452,1.2705207672,0.450509351793999976
,,1.2619970072,47,1.2639504472,1499,,,,,1.2717199672,1452,1.2717199672,0.451708551793999932
,,1.2639504472,47,1.2663728472,1499,,,,,1.2760610872,1452,1.2760610872,0.456049671794000019
,,1.2663728472,47,1.2705207672,1499,,,,,1.2771523672,1452,1.2771523672,0.457140951793999937
,,1.2705207672,47,1.2717199672,1499,,,,,1.2818506072,1452,1.2818506072,0.461839191794000012
,,1.2717199672,47,1.2760610872,1499,,,,,1.2847646872,1452,1.2847646872,0.464753271793999943
,,1.2760610872,47,1.2771523672,1499,,,,,1.2871978072,1452,1.2871978072,0.467186391794000008
,,1.2771523672,47,1.2818506072,1499,,,,,1.2925090072,1452,1.2925090072,0.472497591793999969
,,1.2818506072,47,1.2847646872,1499,,,,,1.2945656472,1452,1.2945656472,0.474554231794000023
,,1.2847646872,47,1.2871978072,1499,,,,,1.2977075672,1452,1.2977075672,0.477696151793999932
,,1.2871978072,47,1.2925090072,1499,,,,,1.3010893272,1452,1.3010893272,0.481077911793999943
,,1.2925090072,47,1.2945656472,1499,,,,,1.3035057272,1452,1.3035057272,0.483494311793999929
