numActiveSessions:vector baselineTestQoS.hostSSH[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[3].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[3].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[3].tcp.conn-572 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[3].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.550991931499,51,0.631201389099,51,1.631201389099,40,1.7112850712,0.080083682101000002,1.7112923512,40,1.7112923512,0.040068538399999992
0.550991931499,1,0.631201389099,47,1.7112850712,47,1.681201389099,40,1.7914174712,0.080132399999999992,1.7914247512,40,1.7914247512,0.040124794399999996
,,1.631201389099,87,1.7112923512,87,1.731201389099,40,1.8715045912,0.080087119999999983,1.8715153912,80,1.8715153912,0.040079802400000002
,,1.7112850712,87,1.7914174712,47,1.781201389099,40,1.9515751512,0.080070559999999984,1.9515824312,40,1.8715153912,0.040079802400000002
,,1.7112923512,47,1.7914247512,87,1.831201389099,40,2.0319166712,0.080341519999999999,2.0319274712,80,1.9515824312,0.0400623784
,,1.7914174712,127,1.8715045912,47,1.881201389099,40,2.1159677912,0.084051120000000006,2.1159785912,80,2.0319274712,0.04033420239999999
,,1.7914247512,47,1.8715153912,127,1.931201389099,40,2.1997563512,0.083788559999999983,2.1997636312,40,2.0319274712,0.04033420239999999
,,1.8715045912,87,1.9515751512,47,1.981201389099,40,2.2803323512,0.08057599999999998,2.2803825752,528,2.1159785912,0.044043226399999996
,,1.8715153912,47,1.9515824312,87,2.031201389099,40,3.3610365912,0.080654015999999994,3.3610438712,40,2.1159785912,0.044043226399999996
,,1.9515751512,127,2.0319166712,47,2.081201389099,40,3.4411809912,0.080144400000000004,3.4411882712,40,2.1997636312,0.0437803784
,,1.9515824312,47,2.0319274712,127,2.131201389099,40,3.5215259512,0.080344959999999992,3.5215367512,80,2.2803825752,0.040611338400000001
,,2.0319166712,127,2.1159677912,47,3.2803825752,40,3.6017322712,0.080206319999999997,3.6017395512,40,3.3610438712,0.040649610399999994
,,2.0319274712,47,2.1159785912,127,3.3303825752,40,3.6821609912,0.08042871999999998,3.6821717912,80,3.4411882712,0.040136794399999994
,,2.1159677912,87,2.1997563512,47,3.3803825752,40,3.7623625112,0.080201519999999998,3.7623733112,80,3.5215367512,0.040337642399999998
,,2.1159785912,47,2.1997636312,87,3.4303825752,40,3.8432257912,0.080863279999999981,3.8432330712,40,3.5215367512,0.040337642399999998
,,2.1997563512,87,2.2803323512,47,3.4803825752,40,3.9237831512,0.080557359999999994,3.9238333752,528,3.6017395512,0.040198138399999999
,,2.1997636312,47,2.2803825752,575,3.5303825752,40,,,,,3.6821717912,0.0404214024
,,2.2803825752,47,3.3610365912,47,3.5803825752,40,,,,,3.6821717912,0.0404214024
,,3.2803825752,87,3.3610438712,87,3.6303825752,40,,,,,3.7623733112,0.040193626400000001
,,3.3610365912,87,3.4411809912,47,3.6803825752,40,,,,,3.7623733112,0.040193626400000001
,,3.3610438712,47,3.4411882712,87,3.7303825752,40,,,,,3.8432330712,0.040855098399999997
,,3.4411809912,127,3.5215259512,47,3.7803825752,40,,,,,3.9238333752,0.040592698400000001
,,3.4411882712,47,3.5215367512,127,4.9238333752,40,,,,,,
,,3.5215259512,87,3.6017322712,47,4.9738333752,40,,,,,,
,,3.5215367512,47,3.6017395512,87,,,,,,,,
,,3.6017322712,127,3.6821609912,47,,,,,,,,
,,3.6017395512,47,3.6821717912,127,,,,,,,,
,,3.6821609912,127,3.7623625112,47,,,,,,,,
,,3.6821717912,47,3.7623733112,127,,,,,,,,
,,3.7623625112,87,3.8432257912,47,,,,,,,,
,,3.7623733112,47,3.8432330712,87,,,,,,,,
,,3.8432257912,87,3.9237831512,47,,,,,,,,
,,3.8432330712,47,3.9238333752,575,,,,,,,,
,,3.9238333752,47,,,,,,,,,,
,,4.9238333752,87,,,,,,,,,,
