rxPkOk:vector(packetBytes) baselineTestQoS.hostVIP[38].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVIP[38].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetLossRate:vector baselineTestQoS.hostVIP[38].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutDelay:vector baselineTestQoS.hostVIP[38].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutLossRate:vector baselineTestQoS.hostVIP[38].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,mos:vector baselineTestQoS.hostVIP[38].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,taildropLossRate:vector baselineTestQoS.hostVIP[38].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
1.021598918032,75,1.021598918032,0.060106859999999997,2.0376220152,0,2.0376220152,0.019999999999999996,2.0376220152,0,2.0376220152,4.369026056673099827,2.0376220152,0
1.041623773865,75,1.041623773865,0.06013171583299999,3.1376220152,0,3.1376220152,0.019999999999999996,3.1376220152,0,3.1376220152,4.36901870630249965,3.1376220152,0
1.061598918032,75,1.061598918032,0.060106859999999997,3.6545861752,0,3.6545861752,0.019999999999999996,3.6545861752,0,3.6545861752,4.369071847232198975,3.6545861752,0
1.0819849704,75,1.0819849704,0.060492912368000001,5,0,5,0.019999999999999996,5,0,5,4.368984751693298905,5,0
1.1015702504,75,1.1015702504,0.060078192367999993,,,,,,,,,,
1.121659171837,75,1.121659171837,0.060167113804999991,,,,,,,,,,
1.141580807985,75,1.141580807985,0.060088749952999994,,,,,,,,,,
1.161510158021,75,1.161510158021,0.060018099988999998,,,,,,,,,,
1.1816508944,75,1.1816508944,0.060158836367999998,,,,,,,,,,
1.2016509752,75,1.2016509752,0.060158917167999994,,,,,,,,,,
1.2215642552,75,1.2215642552,0.060072197167999996,,,,,,,,,,
1.2415674552,75,1.2415674552,0.060075397167999991,,,,,,,,,,
1.2615059352,75,1.2615059352,0.060013877167999995,,,,,,,,,,
1.2822049752,75,1.2822049752,0.060712917167999993,,,,,,,,,,
1.3015636152,75,1.3015636152,0.060071557168,,,,,,,,,,
2.0376220152,75,2.0376220152,0.060120472558999993,,,,,,,,,,
2.0575644952,75,2.0575644952,0.060062952559000001,,,,,,,,,,
2.0776033752,75,2.0776033752,0.060101832558999992,,,,,,,,,,
2.0978400152,75,2.0978400152,0.060338472559000002,,,,,,,,,,
3.2819011352,75,3.2819011352,0.060022050829,,,,,,,,,,
3.3020052152,75,3.3020052152,0.060126130828999993,,,,,,,,,,
3.3219112152,75,3.3219112152,0.060032130828999996,,,,,,,,,,
3.3420240152,75,3.3420240152,0.060144930828999992,,,,,,,,,,
3.6545861752,75,3.6545861752,0.060183350895,,,,,,,,,,
3.6744722552,75,3.6744722552,0.060069430894999997,,,,,,,,,,
3.6944631352,75,3.6944631352,0.060060310894999996,,,,,,,,,,
3.7144765752,75,3.7144765752,0.060073750894999999,,,,,,,,,,
3.7352482552,75,3.7352482552,0.060845430894999996,,,,,,,,,,
3.7544484152,75,3.7544484152,0.060045590895,,,,,,,,,,
3.7744308152,75,3.7744308152,0.060027990894999993,,,,,,,,,,
3.7944097752,75,3.7944097752,0.060006950894999993,,,,,,,,,,
3.8149774552,75,3.8149774552,0.060574630894999994,,,,,,,,,,
3.8345160152,75,3.8345160152,0.060113190895000001,,,,,,,,,,
3.8546730552,75,3.8546730552,0.060270230894999998,,,,,,,,,,
3.8747536152,75,3.8747536152,0.060350790894999991,,,,,,,,,,
3.8945963352,75,3.8945963352,0.060193510894999996,,,,,,,,,,
3.9145194552,75,3.9145194552,0.060116630894999994,,,,,,,,,,
3.9344212952,75,3.9344212952,0.060018470894999994,,,,,,,,,,
3.9544596152,75,3.9544596152,0.060056790895000003,,,,,,,,,,
3.9744395352,75,3.9744395352,0.060036710894999997,,,,,,,,,,
3.9945102552,75,3.9945102552,0.060107430894999993,,,,,,,,,,
4.0146308152,75,4.0146308152,0.060227990894999999,,,,,,,,,,
4.0346377752,75,4.0346377752,0.060234950895,,,,,,,,,,
4.0544235352,75,4.0544235352,0.060020710894999995,,,,,,,,,,
4.0744862552,75,4.0744862552,0.060083430894999997,,,,,,,,,,
4.0953019352,75,4.0953019352,0.060899110894999996,,,,,,,,,,
4.1144799352,75,4.1144799352,0.060077110894999993,,,,,,,,,,
4.1347609752,75,4.1347609752,0.060358150894999989,,,,,,,,,,
4.1560204152,75,4.1560204152,0.06161759089499999,,,,,,,,,,
4.1744979352,75,4.1744979352,0.060095110894999997,,,,,,,,,,
