numActiveSessions:vector baselineTestQoS.hostFDO[8].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostFDO[8].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostFDO[8].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostFDO[8].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostFDO[8].tcp.conn-632 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostFDO[8].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostFDO[8].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.871778260421,51,0.951892124794,51,0.951892124794,800,1.032095967994,0.080203843199999985,1.032227503994,1452,1.032227503994,0.0402558296
0.871778260421,1,0.951892124794,47,1.032095967994,47,,,,,1.1124599624,1452,1.1124599624,0.120488288006000004
1.032227503994,0,0.951892500794,847,1.032227503994,1499,,,,,1.1126998024,1452,1.1126998024,0.120728128005999995
,,1.032227503994,47,1.1124599624,1499,,,,,1.1928217272,1452,1.1928217272,0.200850052805999989
,,1.032227879994,47,1.1126998024,1499,,,,,1.1929416472,1452,1.1929416472,0.200969972805999984
,,1.1124599624,47,1.1159387464,47,,,,,1.1968008472,1452,1.1968008472,0.204829172805999991
,,1.1126998024,47,1.1928217272,1499,,,,,1.1975383672,1452,1.1975383672,0.205566692805999983
,,1.1928217272,47,1.1929416472,1499,,,,,1.2731650072,1452,1.2731650072,0.281193332806000005
,,1.1929416472,47,1.1968008472,1499,,,,,1.2732849272,1452,1.2732849272,0.281313252805999945
,,1.1968008472,47,1.1975383672,1499,,,,,1.2752156472,1452,1.2752156472,0.283243972805999998
,,1.1975383672,47,1.2731650072,1499,,,,,1.2776380472,1452,1.2776380472,0.285666372805999934
,,1.2731650072,47,1.2732849272,1499,,,,,1.2824562072,1452,1.2824562072,0.29048453280599995
,,1.2732849272,47,1.2752156472,1499,,,,,1.2835594872,1452,1.2835594872,0.291587812805999989
