Time,VID,LVD,FDO,VIP,SSH
2,19547,19547,21787,19571,19547
3,19324,20416,21564,19372,19324
5,19867,21099,21155,18963,18915
8,19647,21971,20935,18743,18700
13,20404,21776,20740,18572,18505
17,21166,21586,20550,18382,18315
18,21927,21395,20359,18191,18124
19,21479,20947,22151,17743,17676
21,22241,20757,21961,17553,17486
24,22566,22314,21334,16926,16859
29,22347,23187,21115,16707,16640
30,23104,22992,20920,16536,16445
31,23099,22987,20915,16555,16440
35,23861,22797,20725,16365,16250
39,24623,22607,20535,16175,16060
40,25379,22411,20339,16003,15864
41,25378,22410,20338,16002,15868
44,25692,21772,21940,15364,15230
45,25691,21771,21939,15363,15234
47,25686,21766,21934,15382,15229
49,25468,22640,21716,15164,15011
51,25245,23509,21493,14965,14788
54,26006,23318,21302,14774,14597
55,25787,24191,21083,14555,14383
57,25786,24190,21082,14554,14387
61,25333,23737,22869,14125,13934
64,25328,23732,22864,14144,13929
65,26090,23542,22674,13954,13739
72,26088,23540,22672,13952,13747
73,25869,24413,22453,13733,13528
75,26631,24223,22263,13543,13338
79,26194,25970,21826,13106,12901
80,27269,25141,23237,12277,12072
81,28031,24951,23047,12087,11882
83,28793,24761,22857,11897,11692
87,28788,24756,22852,11916,11687
88,29549,24565,22661,11725,11496
89,30093,25249,22253,11317,11088
94,31611,24863,21867,10955,10702
95,31163,24415,23659,10507,10254
97,30945,25289,23441,10289,10036
98,32468,24908,23060,9908,9655
100,33220,24708,22860,9756,9455
102,33977,24513,22665,9585,9260
106,33972,24508,22660,9604,9255
108,33753,25381,22441,9385,9036
110,34510,25186,22246,9214,8841
111,34509,25185,22245,9213,8845
114,35266,24990,22050,9042,8650
117,35043,25859,21827,8843,8427
119,35804,25668,21636,8652,8236
120,35356,25220,23428,8204,7788
122,35138,26094,23210,7986,7570
127,34920,26968,22992,7768,7352
128,35681,26777,22801,7577,7161
131,35680,26776,22800,7576,7165
132,35462,27650,22582,7358,6947
135,36214,27450,22382,7206,6747
136,35772,29192,21940,6788,6305
137,36315,29875,21531,6379,5896
138,36311,29871,21527,6399,5892
139,36306,29866,21522,6418,5887
143,37067,29675,21331,6227,5696
145,36171,28779,24915,5331,4800
146,36933,28589,24725,5141,4610
147,37476,29272,24316,4732,4201
149,38020,29956,23908,4324,3788
152,38016,29952,23904,4344,3784
155,38011,29947,23899,4363,3779
159,37793,30821,23681,4145,3556
161,37575,31695,23463,3927,3338
162,38337,31505,23273,3737,3148
163,38332,31500,23268,3756,3143
167,39093,31309,23077,3565,2952
168,39855,31119,22887,3375,2762
170,39637,31993,22669,3157,2544
172,39418,32866,22450,2938,2325
173,39200,33740,22232,2720,2107
174,39961,33549,22041,2529,1916
175,39743,34423,21823,2311,1698
176,39524,35296,21604,2092,1484
177,39305,36169,21385,1873,1265
178,39087,37043,21167,1655,1047
182,38868,37916,20948,1436,828
184,38869,37917,20949,1437,824
186,38651,38791,20731,1219,606
187,38433,39665,20513,1001,388
188,38214,40538,20294,782,169
191,38214,40538,20294,782,169
192,38214,40538,20294,782,169
194,38433,39665,20513,1001,388
197,38432,39664,20512,1000,392
198,39188,39468,20316,828,196
200,39188,39468,20316,828,196
202,39189,39469,20317,829,192
206,39189,39469,20317,829,192
213,39408,38596,20536,1048,411
215,40169,38405,20345,857,220
216,40165,38401,20341,877,216
218,40164,38400,20340,876,220
219,40165,38401,20341,877,216
220,40164,38400,20340,876,220
221,40164,38400,20340,876,220
223,40382,37526,20558,1094,438
224,41362,36462,20586,1122,466
228,41144,37336,20368,904,248
233,41145,37337,20369,905,244
234,41358,36458,20582,1142,457
239,42115,36263,20387,971,262
240,41897,37137,20169,753,44
241,41897,37137,20169,753,44
244,41897,37137,20169,753,44
246,41897,37137,20169,753,44
247,42110,36258,20382,990,257
250,42105,36253,20377,1009,252
254,42324,35380,20596,1228,471
258,42324,35380,20596,1228,471
260,42761,33633,21033,1665,908
261,43209,34081,19241,2113,1356
262,43210,34082,19242,2114,1352
263,43205,34077,19237,2133,1347
264,43200,34072,19232,2152,1342
269,43200,34072,19232,2152,1342
270,43418,33198,19450,2370,1560
272,43866,33646,17658,2818,2008
273,43643,34515,17435,2619,1785
274,44086,34958,15638,3086,2228
275,43868,35832,15420,2868,2010
276,43650,36706,15202,2650,1792
280,43202,36258,16994,2202,1344
283,43203,36259,16995,2203,1340
287,42984,37132,16776,1984,1121
292,43416,35380,17208,2440,1553
294,43639,34511,17431,2639,1776
295,43858,33638,17650,2858,1995
299,43410,33190,19442,2410,1547
307,43628,32316,19660,2628,1765
309,42867,32507,19851,2819,1956
310,42863,32503,19847,2839,1947
313,42858,32498,19842,2858,1942
314,42858,32498,19842,2858,1942
320,42867,32507,19851,2819,1956
321,43085,31633,20069,3037,2174
325,42771,32271,18467,3675,2812
328,42228,31588,18876,4084,3221
329,41467,31779,19067,4275,3412
331,40705,31969,19257,4465,3602
332,40710,31974,19262,4446,3607
334,40923,31095,19475,4683,3820
336,41142,30222,19694,4902,4039
337,41147,30227,19699,4883,4044
339,41808,29796,18120,5568,4705
340,41803,29791,18115,5587,4700
342,41042,29982,18306,5778,4891
343,41260,29108,18524,5996,5109
347,40717,28425,18933,6405,5518
351,39960,28620,19128,6576,5713
354,39965,28625,19133,6557,5718
355,39209,28821,19329,6729,5909
356,38666,28138,19738,7138,6318
366,37909,28333,19933,7309,6513
369,38128,27460,20152,7528,6732
370,38346,26586,20370,7746,6950
372,38347,26587,20371,7747,6946
373,38795,27035,18579,8195,7394
375,39013,26161,18797,8413,7612
376,39232,25288,19016,8632,7831
378,39456,24420,19240,8832,8050
379,38913,23737,19649,9241,8459
381,39350,21990,20086,9678,8896
384,39568,21116,20304,9896,9114
386,38045,21497,20685,10277,9495
387,37283,21687,20875,10467,9685
391,36740,21004,21284,10876,10094
395,36958,20130,21502,11094,10312
397,36650,20774,19906,11714,10956
398,36873,19905,20129,11913,11179
