Time,VID,LVD,FDO,VIP,SSH
1,100000,0,0,0,0
3,65808,0,34192,0,0
5,59795,0,21219,0,18984
6,71185,0,15525,0,13290
13,62866,0,13861,11645,11626
14,60268,10184,11332,9116,9097
15,54712,18517,10406,8190,8171
17,58512,16997,9646,7430,7411
20,61727,15711,9003,6787,6768
21,57238,21884,8442,6226,6207
22,60100,20453,7965,5749,5730
28,62604,19201,7548,5332,5313
29,58839,24095,7171,4955,4936
31,58447,21813,6601,8770,4366
37,60573,20751,6335,8239,4100
40,58218,19966,6139,11770,3904
43,56078,19252,5961,14980,3726
44,54124,18601,5798,17911,3563
46,56191,17849,5610,16972,3375
47,54426,17306,5474,19552,3239
48,56359,16662,5313,18585,3078
50,58148,16066,5164,17691,2929
53,59809,15512,5026,16860,2791
54,61356,14996,4897,16087,2662
55,59837,14639,4807,18142,2572
56,61313,14185,4694,17348,2459
58,59929,13877,4617,16810,4764
59,58620,13586,4544,18629,4619
60,60056,13203,4448,17863,4427
62,58844,12948,4385,19521,4300
63,56078,15457,4239,18211,6013
64,57476,15069,4161,17512,5780
66,58802,14700,4088,16849,5559
68,57819,14466,4041,18253,5418
69,59095,14130,3974,17581,5217
70,58174,13921,3932,18879,5091
71,57296,13721,3892,20116,4972
74,57167,15753,3773,18690,4615
80,58356,15429,3719,18042,4453
81,57588,15237,3687,19129,4357
83,58571,16749,3540,17221,3917
84,57351,18766,3493,16611,3776
86,56712,18570,3469,17545,3702
88,57782,18240,3428,16969,3579
89,59805,17618,3350,15879,3345
91,58070,17139,6580,15042,3166
92,57524,16988,6543,15833,3109
93,57006,16845,6507,15565,4074
94,57972,16579,6440,15066,3941
95,58906,16321,6376,14583,3812
97,59809,16072,6314,14115,3688
99,60206,15715,6224,14343,3509
102,61061,15487,6167,13887,3395
103,61683,16680,6002,12566,3065
107,61267,16576,5979,13156,3019
109,60864,16476,5957,13728,2974
111,61661,16258,5909,13293,2878
116,60719,17810,5858,12835,2776
117,58332,18882,8593,11673,2518
120,59099,18647,8529,11290,2432
123,59845,18419,8467,10917,2350
124,59534,18331,8443,11372,2318
126,59231,18246,8420,11815,2287
131,58402,19649,8356,11389,2201
133,58120,19563,8334,11807,2173
134,56766,19146,10974,11078,2034
